test_batch,output,observed_anchor_count,learned_kernel
28,Cb,3,"1.11**2 * RBF(length_scale=[0.855, 1.3, 20, 1.37, 20, 2.61]) + WhiteKernel(noise_level=0.000119)"
28,T,3,"1.49**2 * RBF(length_scale=[0.473, 1.5, 4.01, 2.09, 6.76, 3.99]) + WhiteKernel(noise_level=1e-08)"
28,Cb,4,"1.11**2 * RBF(length_scale=[0.857, 1.32, 20, 1.37, 20, 2.6]) + WhiteKernel(noise_level=0.000118)"
28,T,4,"1.31**2 * RBF(length_scale=[0.476, 1.39, 19.8, 1.81, 3.87, 2.83]) + WhiteKernel(noise_level=1.07e-06)"
28,Cb,5,"1.11**2 * RBF(length_scale=[0.86, 1.33, 20, 1.38, 20, 2.62]) + WhiteKernel(noise_level=0.000117)"
28,T,5,"1.67**2 * RBF(length_scale=[0.477, 1.6, 4.2, 2.42, 10.6, 4.94]) + WhiteKernel(noise_level=1e-08)"
28,Cb,6,"1.1**2 * RBF(length_scale=[0.864, 1.35, 20, 1.37, 20, 2.6]) + WhiteKernel(noise_level=0.000116)"
28,T,6,"1.71**2 * RBF(length_scale=[0.479, 1.65, 4.36, 2.53, 11.5, 5.17]) + WhiteKernel(noise_level=1e-08)"
28,Cb,7,"1.09**2 * RBF(length_scale=[0.868, 1.37, 20, 1.32, 20, 2.55]) + WhiteKernel(noise_level=0.000115)"
28,T,7,"1.81**2 * RBF(length_scale=[0.481, 1.71, 4.5, 2.77, 15.9, 5.73]) + WhiteKernel(noise_level=1e-08)"
28,Cb,8,"1.09**2 * RBF(length_scale=[0.872, 1.38, 20, 1.34, 20, 2.56]) + WhiteKernel(noise_level=0.000113)"
28,T,8,"1.86**2 * RBF(length_scale=[0.485, 1.74, 4.56, 2.93, 20, 5.88]) + WhiteKernel(noise_level=6.86e-07)"
28,Cb,9,"1.09**2 * RBF(length_scale=[0.874, 1.4, 20, 1.34, 20, 2.56]) + WhiteKernel(noise_level=0.000111)"
28,T,9,"1.9**2 * RBF(length_scale=[0.484, 1.79, 4.79, 3.03, 20, 6.2]) + WhiteKernel(noise_level=1e-08)"
28,Cb,10,"1.08**2 * RBF(length_scale=[0.876, 1.42, 20, 1.33, 20, 2.55]) + WhiteKernel(noise_level=0.00011)"
28,T,10,"1.92**2 * RBF(length_scale=[0.485, 1.83, 4.96, 3.09, 20, 6.34]) + WhiteKernel(noise_level=1e-08)"
28,Cb,11,"1.07**2 * RBF(length_scale=[0.874, 1.44, 20, 1.3, 20, 2.51]) + WhiteKernel(noise_level=0.000108)"
28,T,11,"1.82**2 * RBF(length_scale=[0.483, 1.76, 4.55, 3.08, 20, 6.03]) + WhiteKernel(noise_level=1e-08)"
28,Cb,12,"1.07**2 * RBF(length_scale=[0.87, 1.46, 20, 1.29, 20, 2.5]) + WhiteKernel(noise_level=0.000106)"
28,T,12,"1.81**2 * RBF(length_scale=[0.481, 1.77, 4.58, 3.09, 20, 6.08]) + WhiteKernel(noise_level=1e-08)"
36,Cb,3,"1.02**2 * RBF(length_scale=[0.99, 1.26, 20, 20, 20, 2.12]) + WhiteKernel(noise_level=5.69e-05)"
36,T,3,"1.19**2 * RBF(length_scale=[0.788, 20, 6.03, 0.628, 3.21, 2.86]) + WhiteKernel(noise_level=0.000351)"
36,Cb,4,"0.997**2 * RBF(length_scale=[0.992, 1.23, 20, 20, 20, 2.01]) + WhiteKernel(noise_level=5.73e-05)"
36,T,4,"1.19**2 * RBF(length_scale=[0.79, 20, 6.05, 0.629, 3.23, 2.88]) + WhiteKernel(noise_level=0.00035)"
36,Cb,5,"1.05**2 * RBF(length_scale=[0.996, 1.3, 20, 20, 20, 2.21]) + WhiteKernel(noise_level=5.88e-05)"
36,T,5,"1.18**2 * RBF(length_scale=[0.797, 20, 5.86, 0.633, 2.99, 2.86]) + WhiteKernel(noise_level=0.000363)"
36,Cb,6,"1.07**2 * RBF(length_scale=[1, 1.31, 20, 20, 20, 2.26]) + WhiteKernel(noise_level=5.81e-05)"
36,T,6,"0.985**2 * RBF(length_scale=[0.776, 20, 5.32, 0.2, 0.2, 6.12]) + WhiteKernel(noise_level=0.000391)"
36,Cb,7,"1.07**2 * RBF(length_scale=[1.01, 1.32, 20, 20, 20, 2.25]) + WhiteKernel(noise_level=5.84e-05)"
36,T,7,"1.18**2 * RBF(length_scale=[0.803, 20, 5.77, 0.632, 2.89, 2.86]) + WhiteKernel(noise_level=0.000354)"
36,Cb,8,"1.09**2 * RBF(length_scale=[1.02, 1.31, 20, 20, 20, 2.32]) + WhiteKernel(noise_level=6.12e-05)"
36,T,8,"0.958**2 * RBF(length_scale=[0.769, 20, 0.656, 0.445, 0.826, 14.9]) + WhiteKernel(noise_level=0.000361)"
36,Cb,9,"1.1**2 * RBF(length_scale=[1.02, 1.33, 20, 7.17, 20, 2.43]) + WhiteKernel(noise_level=6.06e-05)"
36,T,9,"1.19**2 * RBF(length_scale=[0.811, 20, 5.69, 0.64, 2.78, 2.87]) + WhiteKernel(noise_level=0.000358)"
36,Cb,10,"1.11**2 * RBF(length_scale=[1.02, 1.34, 20, 7.44, 20, 2.45]) + WhiteKernel(noise_level=6.04e-05)"
36,T,10,"1.19**2 * RBF(length_scale=[0.811, 20, 5.65, 0.637, 2.69, 2.87]) + WhiteKernel(noise_level=0.000353)"
36,Cb,11,"1.12**2 * RBF(length_scale=[1.02, 1.35, 20, 6.65, 20, 2.53]) + WhiteKernel(noise_level=6.03e-05)"
36,T,11,"1.19**2 * RBF(length_scale=[0.809, 20, 5.63, 0.638, 2.68, 2.87]) + WhiteKernel(noise_level=0.00035)"
36,Cb,12,"1.13**2 * RBF(length_scale=[1.02, 1.34, 20, 6.83, 20, 2.55]) + WhiteKernel(noise_level=6.03e-05)"
36,T,12,"1.19**2 * RBF(length_scale=[0.806, 20, 5.61, 0.64, 2.68, 2.88]) + WhiteKernel(noise_level=0.000349)"
65,Cb,3,"0.913**2 * RBF(length_scale=[0.857, 1.7, 20, 1.79, 20, 1.93]) + WhiteKernel(noise_level=5.41e-05)"
65,T,3,"1.69**2 * RBF(length_scale=[0.751, 3.16, 5.8, 7.78, 20, 3.61]) + WhiteKernel(noise_level=0.000192)"
65,Cb,4,"0.918**2 * RBF(length_scale=[0.859, 1.71, 20, 1.8, 20, 1.95]) + WhiteKernel(noise_level=5.38e-05)"
65,T,4,"1.68**2 * RBF(length_scale=[0.748, 3.12, 5.83, 8.14, 20, 3.59]) + WhiteKernel(noise_level=0.000193)"
65,Cb,5,"0.922**2 * RBF(length_scale=[0.861, 1.72, 20, 1.81, 20, 1.97]) + WhiteKernel(noise_level=5.36e-05)"
65,T,5,"1.69**2 * RBF(length_scale=[0.748, 3.19, 5.72, 7.93, 20, 3.67]) + WhiteKernel(noise_level=0.000194)"
65,Cb,6,"0.928**2 * RBF(length_scale=[0.865, 1.73, 20, 1.8, 20, 1.97]) + WhiteKernel(noise_level=5.36e-05)"
