test_batch,output,configuration,features,learned_kernel
36,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.8**2 * RBF(length_scale=[0.792, 1.85, 20, 5.11, 20, 6.46]) + WhiteKernel(noise_level=4.41e-05)"
36,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","3.04**2 * RBF(length_scale=[0.487, 2.87, 12.9, 3.4, 20, 11.7]) + WhiteKernel(noise_level=3.17e-06)"
36,Cb,encode_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,dir_f_negative,dir_f_zero,dir_f_positive","1.49**2 * RBF(length_scale=[0.822, 1.69, 20, 4.23, 20, 5.17, 20, 1, 20]) + WhiteKernel(noise_level=4.74e-05)"
36,T,encode_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,dir_f_negative,dir_f_zero,dir_f_positive","2.64**2 * RBF(length_scale=[0.483, 2.93, 11.3, 3.62, 20, 10.4, 20, 1, 20]) + WhiteKernel(noise_level=3.01e-06)"
36,Cb,encode_delta_Tc,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,dir_tc_negative,dir_tc_zero,dir_tc_positive","1.43**2 * RBF(length_scale=[0.827, 1.76, 20, 3.91, 20, 5.14, 20, 1, 20]) + WhiteKernel(noise_level=4.85e-05)"
36,T,encode_delta_Tc,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,dir_tc_negative,dir_tc_zero,dir_tc_positive","2.36**2 * RBF(length_scale=[0.484, 2.88, 12.1, 3.37, 20, 9.52, 20, 1, 20]) + WhiteKernel(noise_level=3.79e-06)"
36,Cb,encode_both,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,dir_f_negative,dir_f_zero,dir_f_positive,dir_tc_negative,dir_tc_zero,dir_tc_positive","1.21**2 * RBF(length_scale=[0.845, 1.54, 20, 3.27, 20, 4.13, 20, 1, 20, 20, 1, 20]) + WhiteKernel(noise_level=5.05e-05)"
36,T,encode_both,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,dir_f_negative,dir_f_zero,dir_f_positive,dir_tc_negative,dir_tc_zero,dir_tc_positive","2.1**2 * RBF(length_scale=[0.479, 2.89, 10.1, 3.69, 20, 9.48, 20, 1, 20, 20, 1, 20]) + WhiteKernel(noise_level=3.76e-06)"
65,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.99**2 * RBF(length_scale=[0.903, 1.8, 20, 4.3, 20, 8.36]) + WhiteKernel(noise_level=2.86e-05)"
65,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.32**2 * RBF(length_scale=[0.506, 2.92, 11.1, 4.57, 20, 18.9]) + WhiteKernel(noise_level=2.5e-06)"
65,Cb,encode_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,dir_f_negative,dir_f_zero,dir_f_positive","1.4**2 * RBF(length_scale=[0.912, 1.58, 20, 3.16, 20, 5.76, 20, 20, 20]) + WhiteKernel(noise_level=2.73e-05)"
65,T,encode_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,dir_f_negative,dir_f_zero,dir_f_positive","1.78**2 * RBF(length_scale=[0.498, 3, 11.1, 3.98, 20, 16.7, 20, 20, 20]) + WhiteKernel(noise_level=1.51e-06)"
65,Cb,encode_delta_Tc,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,dir_tc_negative,dir_tc_zero,dir_tc_positive","1.39**2 * RBF(length_scale=[0.944, 1.43, 20, 3.24, 20, 5.37, 1, 1, 1]) + WhiteKernel(noise_level=2.94e-05)"
65,T,encode_delta_Tc,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,dir_tc_negative,dir_tc_zero,dir_tc_positive","1.77**2 * RBF(length_scale=[0.511, 2.83, 10, 4.22, 20, 12.5, 1, 1, 1]) + WhiteKernel(noise_level=3.41e-06)"
65,Cb,encode_both,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,dir_f_negative,dir_f_zero,dir_f_positive,dir_tc_negative,dir_tc_zero,dir_tc_positive","1.12**2 * RBF(length_scale=[0.955, 1.29, 20, 2.48, 20, 4.13, 20, 20, 20, 1.08, 1, 1.12]) + WhiteKernel(noise_level=2.94e-05)"
65,T,encode_both,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,dir_f_negative,dir_f_zero,dir_f_positive,dir_tc_negative,dir_tc_zero,dir_tc_positive","1.42**2 * RBF(length_scale=[0.525, 2.7, 9.53, 3.91, 20, 11.4, 20, 20, 20, 1, 1, 1]) + WhiteKernel(noise_level=7.02e-06)"
165,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.31**2 * RBF(length_scale=[0.448, 2.59, 20, 6.36, 20, 7.09]) + WhiteKernel(noise_level=7.32e-07)"
165,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.34**2 * RBF(length_scale=[0.401, 3.64, 19.5, 8.48, 20, 8.76]) + WhiteKernel(noise_level=5.82e-06)"
165,Cb,encode_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,dir_f_negative,dir_f_zero,dir_f_positive","1.31**2 * RBF(length_scale=[0.448, 2.59, 20, 6.36, 20, 7.09, 1, 1, 1]) + WhiteKernel(noise_level=7.32e-07)"
