test_batch,output,configuration,features,learned_kernel
28,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.09**2 * RBF(length_scale=[0.872, 1.38, 20, 1.34, 20, 2.56]) + WhiteKernel(noise_level=0.000113)"
28,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.86**2 * RBF(length_scale=[0.485, 1.74, 4.56, 2.93, 20, 5.88]) + WhiteKernel(noise_level=6.86e-07)"
28,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.09**2 * RBF(length_scale=[0.871, 1.37, 20, 1.34, 20, 2.57, 20]) + WhiteKernel(noise_level=0.000113)"
28,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.78**2 * RBF(length_scale=[0.484, 1.75, 4.39, 2.84, 20, 5.6, 20]) + WhiteKernel(noise_level=4.27e-07)"
36,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.09**2 * RBF(length_scale=[1.02, 1.31, 20, 20, 20, 2.32]) + WhiteKernel(noise_level=6.12e-05)"
36,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","0.958**2 * RBF(length_scale=[0.769, 20, 0.656, 0.445, 0.826, 14.9]) + WhiteKernel(noise_level=0.000361)"
36,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.03**2 * RBF(length_scale=[1.02, 1.26, 20, 9.21, 20, 2.22, 20]) + WhiteKernel(noise_level=6.17e-05)"
36,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.18**2 * RBF(length_scale=[0.806, 20, 5.69, 0.633, 2.86, 2.85, 20]) + WhiteKernel(noise_level=0.000353)"
65,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.937**2 * RBF(length_scale=[0.872, 1.7, 20, 1.85, 20, 1.97]) + WhiteKernel(noise_level=5.3e-05)"
65,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.8**2 * RBF(length_scale=[0.757, 3.23, 6.37, 9.1, 20, 3.85]) + WhiteKernel(noise_level=0.000191)"
65,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","0.904**2 * RBF(length_scale=[0.875, 1.72, 20, 1.73, 20, 1.83, 20]) + WhiteKernel(noise_level=5.31e-05)"
65,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.51**2 * RBF(length_scale=[0.755, 3.02, 5.09, 7.42, 20, 3.21, 20]) + WhiteKernel(noise_level=0.000193)"
165,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.3**2 * RBF(length_scale=[0.933, 1.03, 20, 1.56, 20, 3.37]) + WhiteKernel(noise_level=0.000135)"
165,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.22**2 * RBF(length_scale=[0.866, 20, 3.96, 2.3, 20, 5.52]) + WhiteKernel(noise_level=0.0003)"
165,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.5**2 * RBF(length_scale=[0.946, 1.39, 20, 8, 20, 4.09, 2.48]) + WhiteKernel(noise_level=0.000136)"
165,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","2.33**2 * RBF(length_scale=[0.886, 20, 8.68, 2.21, 20, 4.02, 8.33]) + WhiteKernel(noise_level=0.000316)"
174,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.09**2 * RBF(length_scale=[0.83, 1.23, 20, 2.08, 20, 3.06]) + WhiteKernel(noise_level=8.86e-05)"
174,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.04**2 * RBF(length_scale=[0.446, 20, 16.2, 0.876, 3.97, 5.93]) + WhiteKernel(noise_level=1.16e-06)"
