test_batch,output,configuration,features,learned_kernel
28,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.09**2 * RBF(length_scale=[0.872, 1.38, 20, 1.34, 20, 2.56]) + WhiteKernel(noise_level=0.000113)"
28,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.86**2 * RBF(length_scale=[0.485, 1.74, 4.56, 2.93, 20, 5.88]) + WhiteKernel(noise_level=6.86e-07)"
28,Cb,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.869**2 * RBF(length_scale=[0.831, 17.4, 1.78, 7.73, 2.49]) + WhiteKernel(noise_level=0.01)"
28,T,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.24**2 * RBF(length_scale=[0.934, 1.66, 3.28, 20, 5.08]) + WhiteKernel(noise_level=0.01)"
28,Cb,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.02**2 * RBF(length_scale=[0.856, 20, 1.34, 20, 1.22]) + WhiteKernel(noise_level=0.000114)"
28,T,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.92**2 * RBF(length_scale=[0.767, 20, 1.91, 0.991, 3.62]) + WhiteKernel(noise_level=0.000799)"
28,Cb,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,Cb_0","1.15**2 * RBF(length_scale=[0.878, 1.5, 1.33, 20, 2.7]) + WhiteKernel(noise_level=0.000112)"
28,T,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,T_0","1.47**2 * RBF(length_scale=[0.739, 5.59, 0.241, 1.94, 4.91]) + WhiteKernel(noise_level=0.000835)"
28,Cb,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,Cb_0","0.935**2 * RBF(length_scale=[0.85, 20, 9.35, 0.93, 1.07]) + WhiteKernel(noise_level=0.000119)"
28,T,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,T_0","1.04**2 * RBF(length_scale=[0.478, 0.926, 20, 1.31, 2.04]) + WhiteKernel(noise_level=2.65e-05)"
28,Cb,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,Cb_0","1.2**2 * RBF(length_scale=[0.881, 1.5, 20, 1.45, 2.9]) + WhiteKernel(noise_level=0.000113)"
28,T,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,T_0","2**2 * RBF(length_scale=[0.486, 1.77, 4.62, 3.26, 6.31]) + WhiteKernel(noise_level=1.39e-06)"
28,Cb,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","1.07**2 * RBF(length_scale=[0.884, 0.835, 20, 0.784, 9.38]) + WhiteKernel(noise_level=0.000117)"
28,T,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","1.44**2 * RBF(length_scale=[0.737, 5.1, 20, 0.206, 1.52]) + WhiteKernel(noise_level=0.000837)"
36,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.09**2 * RBF(length_scale=[1.02, 1.31, 20, 20, 20, 2.32]) + WhiteKernel(noise_level=6.12e-05)"
36,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","0.958**2 * RBF(length_scale=[0.769, 20, 0.656, 0.445, 0.826, 14.9]) + WhiteKernel(noise_level=0.000361)"
36,Cb,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.911**2 * RBF(length_scale=[1.62, 19.6, 2.83, 20, 1.31]) + WhiteKernel(noise_level=0.01)"
36,T,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","0.893**2 * RBF(length_scale=[0.847, 0.719, 13.2, 20, 20]) + WhiteKernel(noise_level=0.01)"
36,Cb,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.03**2 * RBF(length_scale=[1.03, 20, 0.723, 20, 2.59]) + WhiteKernel(noise_level=6.11e-05)"
