output,configuration,metric,mean_baseline,mean_ablated,percent_change,ablated_better_count,baseline_better_count,ties,wilcoxon_statistic,wilcoxon_p_value
Cb,without_anchor_index,final_abs_error,0.13114439257928714,0.5552006679115581,323.35067248559284,2,28,0,7.0,3.5390257835388184e-08
Cb,without_anchor_index,hidden_mae,0.07102494631574949,0.4402150200303409,519.8033829878799,1,29,0,2.0,5.587935447692871e-09
Cb,without_anchor_index,final_posterior_std,0.12623348969312395,0.041347645993315106,-67.24510580050347,25,5,0,18.0,4.7124922275543213e-07
Cb,without_u1_frac_A,final_abs_error,0.13114439257928714,0.15456103279704614,17.855616818387254,15,15,0,176.0,0.25343610532581806
Cb,without_u1_frac_A,hidden_mae,0.07102494631574949,0.08205104411465336,15.5242606589044,11,19,0,166.0,0.17719271034002304
Cb,without_u1_frac_A,final_posterior_std,0.12623348969312395,0.16224107420993183,28.524589318051042,10,20,0,94.0,0.003475155681371689
Cb,without_u1_Tc_scaled,final_abs_error,0.13114439257928714,0.12545042246810145,-4.341756440515166,23,7,0,133.0,0.04048972204327583
Cb,without_u1_Tc_scaled,hidden_mae,0.07102494631574949,0.06771975071650667,-4.65357000700739,22,8,0,125.0,0.026228994131088257
Cb,without_u1_Tc_scaled,final_posterior_std,0.12623348969312395,0.12343268185125032,-2.2187518135499906,20,10,0,155.0,0.11417667381465435
Cb,without_delta_frac_A,final_abs_error,0.13114439257928714,0.1603564216336794,22.274706893572514,10,20,0,139.0,0.054921628907322884
Cb,without_delta_frac_A,hidden_mae,0.07102494631574949,0.09260175129062588,30.37919223332355,7,23,0,90.0,0.002560090273618698
Cb,without_delta_frac_A,final_posterior_std,0.12623348969312395,0.1614300762830657,27.882130705176024,4,26,0,58.0,0.00013739429414272308
Cb,without_delta_Tc_scaled,final_abs_error,0.13114439257928714,0.12261507207938517,-6.503763014301455,18,12,0,164.0,0.1641840822994709
Cb,without_delta_Tc_scaled,hidden_mae,0.07102494631574949,0.06754915422181047,-4.893762366939336,15,15,0,194.0,0.4399667661637068
Cb,without_delta_Tc_scaled,final_posterior_std,0.12623348969312395,0.11794252451968328,-6.56796005053506,23,7,0,61.0,0.00018860027194023132
Cb,without_initial_output,final_abs_error,0.13114439257928714,0.12319828962106051,-6.059048962709246,18,12,0,172.0,0.22064675763249397
Cb,without_initial_output,hidden_mae,0.07102494631574949,0.06575703510491979,-7.416987247565954,19,11,0,184.0,0.3284698575735092
Cb,without_initial_output,final_posterior_std,0.12623348969312395,0.18945644872561482,50.084141051781984,4,26,0,31.0,4.421919584274292e-06
T,without_anchor_index,final_abs_error,50.52827241484868,89.61757291205704,77.36124476268704,9,21,0,119.0,0.018529480323195457
T,without_anchor_index,hidden_mae,28.42354760970547,87.16598629551864,206.66821570772203,7,23,0,44.0,2.6885420083999634e-05
T,without_anchor_index,final_posterior_std,50.88864378995927,14.239784421597713,-72.017756102183,28,2,0,5.0,1.862645149230957e-08
T,without_u1_frac_A,final_abs_error,50.52827241484868,70.99530344154859,40.506096980044944,6,24,0,61.0,0.00018860027194023132
T,without_u1_frac_A,hidden_mae,28.42354760970547,41.64811093460506,46.52678654505444,7,23,0,58.0,0.00013739429414272308
T,without_u1_frac_A,final_posterior_std,50.88864378995927,58.066228018610076,14.104491088966697,13,17,0,130.0,0.034536734223365784
T,without_u1_Tc_scaled,final_abs_error,50.52827241484868,67.90177828215862,34.3837321899104,8,22,0,76.0,0.0007978975772857666
T,without_u1_Tc_scaled,hidden_mae,28.42354760970547,37.75471656123436,32.82900881923227,8,22,0,84.0,0.0015832837671041489
T,without_u1_Tc_scaled,final_posterior_std,50.88864378995927,59.7374271289867,17.388522625107505,9,21,0,79.0,0.001038169488310814
T,without_delta_frac_A,final_abs_error,50.52827241484868,61.42841336886404,21.572360251153476,13,17,0,156.0,0.11907656863331795
T,without_delta_frac_A,hidden_mae,28.42354760970547,36.473304369308394,28.320732056874796,12,18,0,147.0,0.0803273618221283
T,without_delta_frac_A,final_posterior_std,50.88864378995927,63.7189861718617,25.21258462862388,8,22,0,69.0,0.0004183966666460037
T,without_delta_Tc_scaled,final_abs_error,50.52827241484868,43.88855352958887,-13.140601425566656,22,8,0,95.0,0.0037444327026605606
T,without_delta_Tc_scaled,hidden_mae,28.42354760970547,26.620729668490643,-6.342691510468734,18,12,0,154.0,0.10943205840885639
T,without_delta_Tc_scaled,final_posterior_std,50.88864378995927,48.073012971799976,-5.532925636180619,18,12,0,135.0,0.044907208532094955
T,without_initial_output,final_abs_error,50.52827241484868,73.45308742078296,45.370272741003895,8,22,0,70.0,0.00046010687947273254
T,without_initial_output,hidden_mae,28.42354760970547,45.924459981728475,61.57187910648834,5,25,0,40.0,1.597777009010315e-05
T,without_initial_output,final_posterior_std,50.88864378995927,66.594451802984,30.863090157894145,6,24,0,48.0,4.4075772166252136e-05
