output,configuration,n_tests,mean_final_mae,ci95_final_mae,final_rmse,mean_hidden_mae,ci95_hidden_mae,mean_hidden_rmse,mean_final_posterior_std
Cb,baseline,30,0.13114439257928714,0.04689159374275093,0.18384128817083137,0.07102494631574949,0.023861682489452248,0.08467080935252345,0.12623348969312395
Cb,without_anchor_index,30,0.5552006679115581,0.10295487240972201,0.6231085800942822,0.4402150200303409,0.0791092189885839,0.4649441156133017,0.041347645993315106
Cb,without_delta_Tc_scaled,30,0.12261507207938517,0.04969451326946784,0.18351265679320364,0.06754915422181047,0.025164649849992546,0.08038353682933595,0.11794252451968328
Cb,without_delta_frac_A,30,0.1603564216336794,0.04800842700856975,0.2076368044240517,0.09260175129062588,0.026069761892380385,0.10812563189478759,0.1614300762830657
Cb,without_initial_output,30,0.12319828962106051,0.04610443915996203,0.1767031036176149,0.06575703510491979,0.021699091143815293,0.07981438918123182,0.18945644872561482
Cb,without_u1_Tc_scaled,30,0.12545042246810145,0.04590981198482381,0.17790105902667366,0.06771975071650667,0.023295047059490186,0.08100467378378948,0.12343268185125032
Cb,without_u1_frac_A,30,0.15456103279704614,0.05091601679171956,0.20846891212120727,0.08205104411465336,0.02264432813223771,0.09970491482732857,0.16224107420993183
T,baseline,30,50.52827241484868,19.581913620397657,73.80892012956774,28.42354760970547,9.372474608198454,34.00012659226324,50.88864378995927
T,without_anchor_index,30,89.61757291205704,23.61501020726376,110.63957626885411,87.16598629551864,22.260020035400803,88.11234504146628,14.239784421597713
T,without_delta_Tc_scaled,30,43.88855352958887,19.96787178437285,70.25728961376079,26.620729668490643,9.504231169642427,31.73937923036689,48.073012971799976
T,without_delta_frac_A,30,61.42841336886404,26.79351527571512,95.87896330909798,36.473304369308394,13.460159274944878,42.66149316963459,63.7189861718617
T,without_initial_output,30,73.45308742078296,24.20624431113256,99.08883810925845,45.924459981728475,14.853322341217256,52.82457260776099,66.594451802984
T,without_u1_Tc_scaled,30,67.90177828215862,21.620792774191248,90.2190005557949,37.75471656123436,10.369789884898442,45.174742674514384,59.7374271289867
T,without_u1_frac_A,30,70.99530344154859,24.455960565748597,97.75125398099192,41.64811093460506,11.959155830271037,48.87310429126684,58.066228018610076
