test_batch,output,features,learned_kernel
36,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.8**2 * RBF(length_scale=[0.792, 1.85, 20, 5.11, 20, 6.46]) + WhiteKernel(noise_level=4.41e-05)"
36,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","3.04**2 * RBF(length_scale=[0.487, 2.87, 12.9, 3.4, 20, 11.7]) + WhiteKernel(noise_level=3.17e-06)"
65,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.99**2 * RBF(length_scale=[0.903, 1.8, 20, 4.3, 20, 8.36]) + WhiteKernel(noise_level=2.86e-05)"
65,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","2.32**2 * RBF(length_scale=[0.506, 2.92, 11.1, 4.57, 20, 18.9]) + WhiteKernel(noise_level=2.5e-06)"
165,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.31**2 * RBF(length_scale=[0.448, 2.59, 20, 6.36, 20, 7.09]) + WhiteKernel(noise_level=7.32e-07)"
165,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","2.34**2 * RBF(length_scale=[0.401, 3.64, 19.5, 8.48, 20, 8.76]) + WhiteKernel(noise_level=5.82e-06)"
174,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.22**2 * RBF(length_scale=[0.513, 1.64, 20, 4.24, 20, 5.53]) + WhiteKernel(noise_level=3.98e-07)"
174,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","1.9**2 * RBF(length_scale=[0.461, 2.25, 10.7, 6.55, 20, 6.91]) + WhiteKernel(noise_level=1.67e-06)"
204,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.37**2 * RBF(length_scale=[0.444, 2.93, 20, 6.97, 20, 7.9]) + WhiteKernel(noise_level=5.95e-07)"
204,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","2.41**2 * RBF(length_scale=[0.381, 4.13, 20, 8.83, 20, 11.2]) + WhiteKernel(noise_level=3.5e-06)"
207,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","2.58**2 * RBF(length_scale=[1.28, 3.47, 20, 13.5, 20, 10.9]) + WhiteKernel(noise_level=2.04e-05)"
207,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","2.64**2 * RBF(length_scale=[0.464, 5.31, 17.9, 10.1, 20, 20]) + WhiteKernel(noise_level=1e-08)"
229,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.98**2 * RBF(length_scale=[1.31, 1.92, 20, 3.59, 20, 8.56]) + WhiteKernel(noise_level=2.21e-05)"
229,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","3.05**2 * RBF(length_scale=[0.557, 2.52, 18.2, 6.39, 20, 20]) + WhiteKernel(noise_level=1.67e-05)"
232,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.59**2 * RBF(length_scale=[0.818, 2.14, 20, 9.55, 20, 7.94]) + WhiteKernel(noise_level=1.08e-05)"
232,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","2.6**2 * RBF(length_scale=[0.527, 2.72, 14.7, 5.76, 20, 8.04]) + WhiteKernel(noise_level=9.76e-06)"
234,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.52**2 * RBF(length_scale=[0.52, 1.74, 20, 4.23, 20, 8.02]) + WhiteKernel(noise_level=1.42e-06)"
234,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","1.95**2 * RBF(length_scale=[0.454, 2.11, 16.6, 4.91, 20, 11.6]) + WhiteKernel(noise_level=1.76e-06)"
250,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","3.17**2 * RBF(length_scale=[1.27, 3.39, 20, 20, 20, 12.8]) + WhiteKernel(noise_level=2.91e-05)"
250,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","3.11**2 * RBF(length_scale=[0.48, 5.19, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
257,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.61**2 * RBF(length_scale=[1.02, 3.43, 20, 7.71, 20, 4.96]) + WhiteKernel(noise_level=1.34e-05)"
257,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","3.73**2 * RBF(length_scale=[0.711, 4.74, 16.1, 6.37, 20, 15.8]) + WhiteKernel(noise_level=5.38e-05)"
314,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","2.95**2 * RBF(length_scale=[1.33, 5.39, 20, 15.6, 20, 9.06]) + WhiteKernel(noise_level=4e-05)"
314,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","2.2**2 * RBF(length_scale=[0.453, 6.35, 20, 8.43, 20, 20]) + WhiteKernel(noise_level=1e-08)"
332,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","3.2**2 * RBF(length_scale=[1.33, 3.77, 20, 20, 20, 11.2]) + WhiteKernel(noise_level=3.45e-05)"
332,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","3.88**2 * RBF(length_scale=[0.462, 6.2, 17, 10.5, 20, 20]) + WhiteKernel(noise_level=1e-08)"
401,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","3.33**2 * RBF(length_scale=[1.27, 10.6, 20, 20, 20, 12.3]) + WhiteKernel(noise_level=3e-05)"
401,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","2.98**2 * RBF(length_scale=[0.474, 16.2, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
424,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.36**2 * RBF(length_scale=[0.553, 3.11, 20, 4.89, 20, 6.45]) + WhiteKernel(noise_level=1.28e-06)"
424,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","3.33**2 * RBF(length_scale=[0.503, 5.06, 10, 4.68, 20, 16.1]) + WhiteKernel(noise_level=6.27e-06)"
496,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.13**2 * RBF(length_scale=[0.601, 5.47, 20, 2.56, 20, 6.69]) + WhiteKernel(noise_level=4.51e-08)"
496,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","2.46**2 * RBF(length_scale=[0.503, 2.75, 20, 7.44, 20, 8.99]) + WhiteKernel(noise_level=1.11e-08)"
569,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.36**2 * RBF(length_scale=[0.398, 6.2, 20, 12, 20, 7.56]) + WhiteKernel(noise_level=3.53e-08)"
569,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","2.66**2 * RBF(length_scale=[0.354, 8.98, 19.6, 14.8, 20, 15.1]) + WhiteKernel(noise_level=9.46e-07)"
653,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.96**2 * RBF(length_scale=[1.1, 5.27, 20, 10.4, 20, 9.93]) + WhiteKernel(noise_level=1.36e-05)"
653,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","4.32**2 * RBF(length_scale=[0.79, 6.1, 20, 7.82, 20, 20]) + WhiteKernel(noise_level=0.000125)"
748,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.38**2 * RBF(length_scale=[0.601, 7.74, 20, 4.29, 20, 14.3]) + WhiteKernel(noise_level=1e-08)"
748,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","4.37**2 * RBF(length_scale=[0.547, 10.9, 20, 16.1, 20, 20]) + WhiteKernel(noise_level=2.51e-06)"
788,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.1**2 * RBF(length_scale=[0.443, 3.96, 20, 9.53, 20, 5.47]) + WhiteKernel(noise_level=1.42e-07)"
788,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","1.46**2 * RBF(length_scale=[0.398, 4.02, 18, 9.2, 20, 11.4]) + WhiteKernel(noise_level=9.28e-07)"
803,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.64**2 * RBF(length_scale=[0.593, 2.5, 20, 4.44, 20, 14.6]) + WhiteKernel(noise_level=1.12e-05)"
803,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","1.99**2 * RBF(length_scale=[0.489, 3.03, 20, 7.33, 20, 16]) + WhiteKernel(noise_level=6.16e-06)"
815,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.16**2 * RBF(length_scale=[0.401, 5.9, 20, 10.2, 20, 6.33]) + WhiteKernel(noise_level=3.52e-08)"
815,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","2.03**2 * RBF(length_scale=[0.32, 6.71, 20, 10.3, 20, 14.5]) + WhiteKernel(noise_level=1.32e-07)"
830,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.13**2 * RBF(length_scale=[0.417, 4.59, 20, 11.8, 20, 6.43]) + WhiteKernel(noise_level=1.08e-07)"
830,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","1.47**2 * RBF(length_scale=[0.357, 5.17, 18.1, 10.3, 20, 16.4]) + WhiteKernel(noise_level=4.46e-07)"
857,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.15**2 * RBF(length_scale=[0.451, 3.07, 20, 8.18, 20, 7.51]) + WhiteKernel(noise_level=8.05e-08)"
857,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","1.53**2 * RBF(length_scale=[0.41, 3.74, 20, 7.58, 20, 11.2]) + WhiteKernel(noise_level=5.21e-07)"
881,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.79**2 * RBF(length_scale=[1.29, 5.15, 20, 14.3, 20, 10.9]) + WhiteKernel(noise_level=2.05e-05)"
881,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","3.85**2 * RBF(length_scale=[0.853, 5.4, 20, 10.7, 20, 15.9]) + WhiteKernel(noise_level=6.59e-05)"
883,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","2.53**2 * RBF(length_scale=[1.28, 9.82, 20, 20, 20, 10.9]) + WhiteKernel(noise_level=4.93e-05)"
883,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","1.97**2 * RBF(length_scale=[0.468, 13.8, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
907,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.38**2 * RBF(length_scale=[0.449, 3.35, 20, 9.48, 20, 7.89]) + WhiteKernel(noise_level=4.68e-07)"
907,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","1.75**2 * RBF(length_scale=[0.374, 3.34, 18.7, 7.9, 20, 11.3]) + WhiteKernel(noise_level=2.12e-06)"
974,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","1.07**2 * RBF(length_scale=[0.418, 2.99, 20, 8.91, 20, 7.45]) + WhiteKernel(noise_level=3.21e-07)"
974,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","1.59**2 * RBF(length_scale=[0.331, 3.43, 20, 7.75, 20, 14.6]) + WhiteKernel(noise_level=1.81e-06)"
992,Cb,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, Cb_0","2.6**2 * RBF(length_scale=[1.25, 7.05, 20, 20, 20, 10.7]) + WhiteKernel(noise_level=3.38e-05)"
992,T,"anchor_index, u1_frac_A, u1_Tc_scaled, delta_frac_A, delta_Tc_scaled, T_0","1.57**2 * RBF(length_scale=[0.456, 8.71, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
