test_number,test_batch,history_batch,selection_rank,selection_distance
1,36,20,1,0.21686689466121842
1,36,15,2,0.4831407662369219
1,36,0,3,0.5776028047023318
1,36,26,4,0.6046693311223912
1,36,17,5,0.6639465339920075
1,36,5,6,0.6643841132959154
1,36,32,7,0.6939245275964814
1,36,24,8,0.777435688658554
1,36,19,9,0.7853820726245284
1,36,14,10,0.8288847929597937
1,36,35,11,0.8746785123689732
1,36,31,12,0.922283172350011
1,36,6,13,0.9225575862784936
1,36,12,14,0.9514791116992533
1,36,10,15,0.9775607398008576
1,36,28,16,1.0250914593342393
1,36,25,17,1.0483618173130878
1,36,29,18,1.0861773566043438
1,36,3,19,1.1193217812586336
1,36,22,20,1.1348182673891005
1,36,33,21,1.164820265105308
1,36,21,22,1.2073032966077746
1,36,2,23,1.2269983700070672
1,36,7,24,1.2553585145288177
1,36,1,25,1.262873707066546
1,36,9,26,1.3154656970061973
1,36,27,27,1.3506225416451483
1,36,11,28,1.4579716218088745
1,36,13,29,1.4633266894306276
1,36,30,30,1.5210625398056452
2,65,18,1,0.2619398785981242
2,65,4,2,0.3393467990124557
2,65,62,3,0.4131963818815454
2,65,43,4,0.5226136240091718
2,65,1,5,0.6100512273571786
2,65,16,6,0.6133616388396
2,65,41,7,0.6218621229822573
2,65,7,8,0.6393844696268436
2,65,2,9,0.6393844696268436
2,65,27,10,0.6403953856798157
2,65,34,11,0.6446171344294223
2,65,29,12,0.6671440998764809
2,65,57,13,0.6757449592856759
2,65,31,14,0.6788271134832492
2,65,39,15,0.686339930355214
2,65,64,16,0.6968186636421271
2,65,8,17,0.7017923482056497
2,65,37,18,0.7043170450869409
2,65,25,19,0.705921383724845
2,65,3,20,0.7075706678488022
2,65,11,21,0.7501541508250155
2,65,14,22,0.7747983608655867
2,65,21,23,0.7850358272079052
2,65,61,24,0.7959624677081201
2,65,22,25,0.80729486558506
2,65,51,26,0.8182068809292672
2,65,12,27,0.8212338278468563
2,65,30,28,0.8347342391444116
2,65,47,29,0.8690260352831785
2,65,52,30,0.869414314351909
3,165,75,1,0.05482928049865326
3,165,99,2,0.1251499101078382
3,165,23,3,0.1465648320709985
3,165,136,4,0.2529822128134704
3,165,134,5,0.293129664141997
3,165,40,6,0.3190317382330478
3,165,48,7,0.33978853718158286
3,165,122,8,0.34163211207379196
3,165,117,9,0.35690509943120724
3,165,87,10,0.3753748126872659
3,165,150,11,0.4314003361148435
3,165,106,12,0.43481317827315213
3,165,13,13,0.486139126176859
3,165,84,14,0.5020271407005802
3,165,52,15,0.515
3,165,30,16,0.528973061695962
3,165,68,17,0.5510217781540037
3,165,143,18,0.5643580423808986
3,165,59,19,0.5706684676762859
3,165,111,20,0.5970029313160868
3,165,70,21,0.6072736203722339
3,165,159,22,0.6096976709812822
3,165,142,23,0.6244447533609359
3,165,79,24,0.6376519426771944
3,165,104,25,0.6382838318491234
3,165,119,26,0.6659204156654156
3,165,155,27,0.6676685180536822
3,165,126,28,0.67229550794275
3,165,94,29,0.6725557597701473
3,165,145,30,0.7122543436160991
4,174,126,1,0.08500000000000005
4,174,70,2,0.14853450777512944
4,174,171,3,0.2687005768508881
4,174,37,4,0.3246729123287003
4,174,145,5,0.3246729123287003
4,174,84,6,0.3325657829663178
4,174,143,7,0.3332135201338625
4,174,34,8,0.3347480395760368
4,174,131,9,0.3698986347636336
4,174,68,10,0.37010978101098585
4,174,52,11,0.37530820667819137
4,174,136,12,0.3866280512327062
4,174,11,13,0.3882734217017694
4,174,16,14,0.39180671255097194
4,174,111,15,0.42320946350477556
4,174,87,16,0.4281646879414509
4,174,94,17,0.44369189760463273
4,174,30,18,0.45266571551200996
4,174,13,19,0.45974177534785765
4,174,169,20,0.4600135867558697
4,174,142,21,0.46185766205617945
4,174,43,22,0.4859269492423732
4,174,117,23,0.49795833159010405
4,174,122,24,0.4989301053253854
4,174,116,25,0.5123719352189384
4,174,149,26,0.5161940042270929
4,174,27,27,0.5182482513236296
4,174,106,28,0.5302181154958779
4,174,104,29,0.5357354757713924
4,174,54,30,0.5853898273800119
5,204,48,1,0.11918997441060228
5,204,99,2,0.22228922600971912
5,204,40,3,0.2261774745636709
5,204,134,4,0.24041630560342608
5,204,150,5,0.249712334497117
5,204,122,6,0.2677918968154189
5,204,117,7,0.2770491833592007
5,204,165,8,0.30923292192132446
5,204,159,9,0.3361268361794399
5,204,75,10,0.3480391500966522
5,204,106,11,0.3486581420245338
5,204,13,12,0.37510831768970426
5,204,59,13,0.39612182469538343
5,204,136,14,0.3995309750194595
5,204,155,15,0.405624518489699
5,204,79,16,0.40586327747161366
5,204,23,17,0.4163607210100395
5,204,87,18,0.4440228034684705
5,204,179,19,0.45777996898073214
5,204,119,20,0.4851030818290068
5,204,30,21,0.49604687278522397
5,204,52,22,0.5204325124355703
5,204,104,23,0.5272866867274387
5,204,171,24,0.5345851195085775
5,204,142,25,0.5425
5,204,194,26,0.5457391776297539
5,204,73,27,0.5637375275782163
5,204,200,28,0.6163247926215528
5,204,143,29,0.6257994886543135
5,204,109,30,0.6518291570649476
6,207,57,1,0.17902513789968144
6,207,197,2,0.21731313812100728
6,207,191,3,0.2229349680960795
6,207,182,4,0.2434260668046871
6,207,8,5,0.2528957295013104
6,207,162,6,0.2654359621452979
6,207,72,7,0.2741464024932664
6,207,186,8,0.2916333314283537
6,207,103,9,0.3559582138397708
6,207,154,10,0.3687309317103732
6,207,4,11,0.3700337822415679
6,207,100,12,0.3746081285823895
6,207,86,13,0.41214378558944686
6,207,18,14,0.48492911853177056
6,207,180,15,0.5116211977625635
6,207,148,16,0.5223145603944045
6,207,160,17,0.5283523918749681
6,207,39,18,0.5338831801059104
6,207,65,19,0.5349824763485249
6,207,139,20,0.5770723524827714
6,207,113,21,0.6437099502104965
6,207,158,22,0.7421674339392696
6,207,137,23,0.7773351915358006
6,207,62,24,0.8012802256389459
6,207,93,25,0.8159082362618972
6,207,118,26,0.8159541960183795
6,207,10,27,0.8306811963683781
6,207,49,28,0.833854004007896
6,207,43,29,0.8551352232249588
6,207,129,30,0.8603959844164778
7,229,217,1,0.23115200626427612
7,229,195,2,0.2458912361187359
7,229,107,3,0.32015621187164234
7,229,31,4,0.333513492980419
7,229,210,5,0.33453325694166797
7,229,118,6,0.374849969987994
7,229,185,7,0.3882734217017693
7,229,41,8,0.391551401478784
7,229,24,9,0.3929774166539343
7,229,137,10,0.40392604521124914
7,229,156,11,0.41389159208662357
7,229,157,12,0.42652666974059184
7,229,166,13,0.4337337893224368
7,229,97,14,0.43563889863050564
7,229,167,15,0.44335369627420484
7,229,76,16,0.4435721474574344
7,229,152,17,0.45149750829877244
7,229,124,18,0.45202322949158275
7,229,172,19,0.4540512085657298
7,229,77,20,0.46204031209408547
7,229,205,21,0.48133278508740707
7,229,95,22,0.4831278298752824
7,229,14,23,0.4978076937934968
7,229,160,24,0.49840997181035634
7,229,212,25,0.5077031613058954
7,229,180,26,0.5086501744814407
7,229,100,27,0.5099019513592785
7,229,158,28,0.5142044826720203
7,229,25,29,0.5147086554547144
7,229,177,30,0.5431677917549972
8,232,66,1,0.18671502349837824
8,232,123,2,0.23521266972678156
8,232,35,3,0.24470645680079628
8,232,230,4,0.2608280084653485
8,232,177,5,0.2616533966911187
8,232,211,6,0.2741464024932664
8,232,101,7,0.28531780526283324
8,232,198,8,0.29803523281652455
8,232,5,9,0.338563140344604
8,232,231,10,0.3617492225285356
8,232,96,11,0.3699070829275914
8,232,19,12,0.38481326640332963
8,232,14,13,0.39402569713154495
