test_batch,output,strategy,learned_kernel
36,Cb,recent,"2.06**2 * RBF(length_scale=[0.52, 2.22, 20, 4.26, 20, 8.68]) + WhiteKernel(noise_level=3.15e-06)"
36,T,recent,"2.85**2 * RBF(length_scale=[0.462, 2.94, 10.8, 3.99, 20, 12.6]) + WhiteKernel(noise_level=1.07e-05)"
36,Cb,random,"2.06**2 * RBF(length_scale=[0.775, 1.97, 20, 4.32, 20, 8.01]) + WhiteKernel(noise_level=7.76e-05)"
36,T,random,"2.51**2 * RBF(length_scale=[0.477, 2.84, 10, 3.3, 20, 10.6]) + WhiteKernel(noise_level=1.43e-05)"
36,Cb,nearest_initial,"2.02**2 * RBF(length_scale=[0.752, 1.99, 20, 4.42, 20, 7.17]) + WhiteKernel(noise_level=7.05e-05)"
36,T,nearest_initial,"2.61**2 * RBF(length_scale=[0.48, 2.78, 8.72, 3.54, 20, 10.2]) + WhiteKernel(noise_level=1.62e-05)"
36,Cb,nearest_target,"1.95**2 * RBF(length_scale=[0.834, 1.99, 20, 4.22, 20, 7.09]) + WhiteKernel(noise_level=5.16e-05)"
36,T,nearest_target,"3.01**2 * RBF(length_scale=[0.484, 3.08, 15.6, 3.66, 20, 11.1]) + WhiteKernel(noise_level=1.51e-06)"
36,Cb,nearest_transition,"1.8**2 * RBF(length_scale=[0.792, 1.85, 20, 5.11, 20, 6.46]) + WhiteKernel(noise_level=4.41e-05)"
36,T,nearest_transition,"3.04**2 * RBF(length_scale=[0.487, 2.87, 12.9, 3.4, 20, 11.7]) + WhiteKernel(noise_level=3.17e-06)"
65,Cb,recent,"1.61**2 * RBF(length_scale=[0.539, 1.81, 20, 4.65, 20, 7.93]) + WhiteKernel(noise_level=1.39e-06)"
65,T,recent,"2.56**2 * RBF(length_scale=[0.497, 2.73, 17, 3.92, 19.8, 9.57]) + WhiteKernel(noise_level=5.06e-06)"
65,Cb,random,"2.3**2 * RBF(length_scale=[0.539, 2.47, 20, 5.16, 20, 12.2]) + WhiteKernel(noise_level=1.24e-06)"
65,T,random,"3.44**2 * RBF(length_scale=[0.492, 3.18, 15.8, 3.92, 20, 18.5]) + WhiteKernel(noise_level=2.58e-06)"
65,Cb,nearest_initial,"1.9**2 * RBF(length_scale=[0.845, 1.78, 20, 3.59, 20, 7.65]) + WhiteKernel(noise_level=3.04e-05)"
65,T,nearest_initial,"2.44**2 * RBF(length_scale=[0.477, 2.69, 11.3, 3.53, 20, 19.6]) + WhiteKernel(noise_level=9.94e-07)"
65,Cb,nearest_target,"1.5**2 * RBF(length_scale=[0.528, 1.87, 20, 3.34, 20, 7.69]) + WhiteKernel(noise_level=2.11e-06)"
65,T,nearest_target,"2.07**2 * RBF(length_scale=[0.481, 2.49, 18.1, 3.37, 20, 7.15]) + WhiteKernel(noise_level=1.01e-05)"
65,Cb,nearest_transition,"1.99**2 * RBF(length_scale=[0.903, 1.8, 20, 4.3, 20, 8.36]) + WhiteKernel(noise_level=2.86e-05)"
65,T,nearest_transition,"2.32**2 * RBF(length_scale=[0.506, 2.92, 11.1, 4.57, 20, 18.9]) + WhiteKernel(noise_level=2.5e-06)"
165,Cb,recent,"2.04**2 * RBF(length_scale=[0.531, 1.84, 20, 2.92, 20, 11.1]) + WhiteKernel(noise_level=4.03e-06)"
165,T,recent,"2.62**2 * RBF(length_scale=[0.477, 2.5, 13.4, 2.61, 17.1, 11.5]) + WhiteKernel(noise_level=4.28e-06)"
165,Cb,random,"1.61**2 * RBF(length_scale=[0.507, 1.7, 20, 3.33, 20, 7.44]) + WhiteKernel(noise_level=6.31e-07)"
165,T,random,"2.45**2 * RBF(length_scale=[0.474, 2.23, 11.2, 2.68, 20, 11.2]) + WhiteKernel(noise_level=2.59e-06)"
165,Cb,nearest_initial,"2.09**2 * RBF(length_scale=[0.545, 1.71, 20, 7.64, 20, 9.93]) + WhiteKernel(noise_level=5.46e-06)"
165,T,nearest_initial,"2.87**2 * RBF(length_scale=[0.469, 2.48, 15.1, 5.9, 20, 20]) + WhiteKernel(noise_level=4.23e-06)"
165,Cb,nearest_target,"1.21**2 * RBF(length_scale=[0.463, 6.62, 20, 2.96, 20, 8.27]) + WhiteKernel(noise_level=6.7e-07)"
165,T,nearest_target,"1.76**2 * RBF(length_scale=[0.43, 8.03, 20, 2.45, 15.5, 9.22]) + WhiteKernel(noise_level=1.4e-05)"
165,Cb,nearest_transition,"1.31**2 * RBF(length_scale=[0.448, 2.59, 20, 6.36, 20, 7.09]) + WhiteKernel(noise_level=7.32e-07)"
165,T,nearest_transition,"2.34**2 * RBF(length_scale=[0.401, 3.64, 19.5, 8.48, 20, 8.76]) + WhiteKernel(noise_level=5.82e-06)"
174,Cb,recent,"1.74**2 * RBF(length_scale=[0.522, 1.76, 20, 3.11, 20, 10.1]) + WhiteKernel(noise_level=2.3e-06)"
174,T,recent,"2.95**2 * RBF(length_scale=[0.474, 2.43, 17.3, 2.84, 20, 14.2]) + WhiteKernel(noise_level=3.03e-06)"
174,Cb,random,"1.56**2 * RBF(length_scale=[0.53, 1.77, 20, 3.2, 20, 7.44]) + WhiteKernel(noise_level=2.11e-06)"
174,T,random,"2.58**2 * RBF(length_scale=[0.471, 2.43, 14.1, 3.39, 16.4, 11.6]) + WhiteKernel(noise_level=5.35e-06)"
174,Cb,nearest_initial,"1.86**2 * RBF(length_scale=[0.525, 1.5, 20, 10.5, 20, 9.91]) + WhiteKernel(noise_level=3.68e-06)"
174,T,nearest_initial,"2.61**2 * RBF(length_scale=[0.467, 2.17, 13.8, 6.9, 20, 20]) + WhiteKernel(noise_level=8.03e-06)"
174,Cb,nearest_target,"2.02**2 * RBF(length_scale=[0.55, 3.59, 20, 5.6, 20, 9]) + WhiteKernel(noise_level=7.86e-07)"
174,T,nearest_target,"3.01**2 * RBF(length_scale=[0.484, 4.94, 20, 4.46, 14.4, 8.84]) + WhiteKernel(noise_level=1.43e-07)"
174,Cb,nearest_transition,"1.22**2 * RBF(length_scale=[0.513, 1.64, 20, 4.24, 20, 5.53]) + WhiteKernel(noise_level=3.98e-07)"
174,T,nearest_transition,"1.9**2 * RBF(length_scale=[0.461, 2.25, 10.7, 6.55, 20, 6.91]) + WhiteKernel(noise_level=1.67e-06)"
204,Cb,recent,"1.85**2 * RBF(length_scale=[0.528, 1.88, 20, 3.12, 20, 8.64]) + WhiteKernel(noise_level=2.61e-06)"
204,T,recent,"2.07**2 * RBF(length_scale=[0.475, 2.6, 10.6, 2.88, 20, 8.63]) + WhiteKernel(noise_level=4.31e-06)"
204,Cb,random,"1.64**2 * RBF(length_scale=[0.515, 1.9, 20, 3.4, 20, 8.19]) + WhiteKernel(noise_level=2.46e-06)"
204,T,random,"2.63**2 * RBF(length_scale=[0.486, 2.62, 13.5, 2.52, 13.1, 12.8]) + WhiteKernel(noise_level=1.28e-05)"
204,Cb,nearest_initial,"1.96**2 * RBF(length_scale=[0.524, 1.6, 20, 7.54, 20, 13.7]) + WhiteKernel(noise_level=3.81e-06)"
204,T,nearest_initial,"2.6**2 * RBF(length_scale=[0.469, 2.2, 14.8, 5.86, 20, 20]) + WhiteKernel(noise_level=6.83e-06)"
204,Cb,nearest_target,"1.1**2 * RBF(length_scale=[0.463, 7.52, 20, 2.56, 20, 7.24]) + WhiteKernel(noise_level=3.57e-07)"
204,T,nearest_target,"1.95**2 * RBF(length_scale=[0.437, 9.33, 15.4, 2.42, 13.5, 10.2]) + WhiteKernel(noise_level=1.81e-05)"
204,Cb,nearest_transition,"1.37**2 * RBF(length_scale=[0.444, 2.93, 20, 6.97, 20, 7.9]) + WhiteKernel(noise_level=5.95e-07)"
