output,strategy,metric,mean_recent,mean_candidate,percent_change_vs_recent,candidate_better_count,recent_better_count,ties,wilcoxon_statistic,wilcoxon_p_value
Cb,random,final_abs_error,0.024853304450531813,0.015678416998585475,-36.916167305671955,17,12,0,179.0,0.41691966354846954
Cb,random,hidden_mae,0.013153373393994415,0.009822166736158332,-25.32587312815927,13,16,0,194.0,0.6239256113767624
Cb,random,final_posterior_std,0.013811919460016258,0.01450730256950397,5.034659458453672,18,11,0,216.0,0.983013316988945
Cb,nearest_initial,final_abs_error,0.024853304450531813,0.005271288578240559,-78.79039148000393,24,5,0,45.0,6.0480087995529175e-05
Cb,nearest_initial,hidden_mae,0.013153373393994415,0.0035756844678740307,-72.81545683553223,24,5,0,46.0,6.843358278274536e-05
Cb,nearest_initial,final_posterior_std,0.013811919460016258,0.004133883476928073,-70.07017388933423,27,2,0,8.0,9.313225746154785e-08
Cb,nearest_target,final_abs_error,0.024853304450531813,0.0065063550724329825,-73.82096579799568,25,4,0,55.0,0.00019468367099761963
Cb,nearest_target,hidden_mae,0.013153373393994415,0.0029794771900828712,-77.348189693731,26,3,0,16.0,6.295740604400635e-07
Cb,nearest_target,final_posterior_std,0.013811919460016258,0.0044677922132292805,-67.65263346515329,26,3,0,10.0,1.601874828338623e-07
Cb,nearest_transition,final_abs_error,0.024853304450531813,0.003314663914150663,-86.6630857045662,25,4,0,30.0,7.577240467071533e-06
Cb,nearest_transition,hidden_mae,0.013153373393994415,0.0021448459662403497,-83.69356740667267,27,2,0,5.0,3.725290298461914e-08
Cb,nearest_transition,final_posterior_std,0.013811919460016258,0.003521622737448604,-74.5030171393393,27,2,0,13.0,3.2782554626464844e-07
T,random,final_abs_error,2.7531946434928263,4.939529665122211,79.41084103141003,10,19,0,102.0,0.011321667581796646
T,random,hidden_mae,2.6802412127571547,3.0710273455981305,14.580259828143438,13,16,0,180.0,0.4293668270111084
T,random,final_posterior_std,5.1054820196450725,6.5009778272817895,27.333282190928763,13,16,0,152.0,0.16216303035616875
T,nearest_initial,final_abs_error,2.7531946434928263,1.1621431433256204,-57.78928503757099,23,6,0,67.0,0.0006687678396701813
T,nearest_initial,hidden_mae,2.6802412127571547,0.8080884601631028,-69.85015914549628,26,3,0,22.0,1.996755599975586e-06
T,nearest_initial,final_posterior_std,5.1054820196450725,1.4400590075514212,-71.79386780699049,28,1,0,1.0,7.450580596923828e-09
T,nearest_target,final_abs_error,2.7531946434928263,0.4751419603185574,-82.74215877030143,24,5,0,25.0,3.3676624298095703e-06
T,nearest_target,hidden_mae,2.6802412127571547,0.38769100603438816,-85.5352195843757,27,2,0,6.0,5.21540641784668e-08
T,nearest_target,final_posterior_std,5.1054820196450725,1.3105491825090652,-74.33054944731403,28,1,0,3.0,1.862645149230957e-08
T,nearest_transition,final_abs_error,2.7531946434928263,0.6452494112033181,-76.56361083193428,23,6,0,37.0,2.1148473024368286e-05
T,nearest_transition,hidden_mae,2.6802412127571547,0.5006211124247354,-81.32178887325786,25,4,0,23.0,2.384185791015625e-06
T,nearest_transition,final_posterior_std,5.1054820196450725,1.0523723518944101,-79.38740460068118,27,2,0,7.0,7.078051567077637e-08
