output,strategy,n_tests,mean_final_mae,ci95_final_mae,final_rmse,mean_hidden_mae,ci95_hidden_mae,mean_hidden_rmse,mean_final_posterior_std,median_selection_time_ms
Cb,nearest_initial,29,0.005271288578240559,0.0026517108146320127,0.008890275319739946,0.0035756844678740307,0.0014171117015553398,0.0042050950766551725,0.004133883476928073,0.6047999922884628
Cb,nearest_target,29,0.0065063550724329825,0.004203195242748867,0.013080511703327868,0.0029794771900828712,0.0013108923073253751,0.003982554959825668,0.0044677922132292805,0.5926000012550503
Cb,nearest_transition,29,0.003314663914150663,0.0017616019849618024,0.005797014363706934,0.0021448459662403497,0.0009058221663200864,0.0025191101567422496,0.003521622737448604,0.6122000049799681
Cb,random,29,0.015678416998585475,0.006578433471962977,0.02369037667973262,0.009822166736158332,0.003190822142136932,0.011828388211801558,0.01450730256950397,0.298099999781698
Cb,recent,29,0.024853304450531813,0.019606671897586924,0.05847728895059928,0.013153373393994415,0.007798423142800626,0.016289582691161646,0.013811919460016258,0.15949999215081334
T,nearest_initial,29,1.1621431433256204,0.5590201620717928,1.904809515939314,0.8080884601631028,0.269209679457994,0.9498060516688921,1.4400590075514212,0.6047999922884628
T,nearest_target,29,0.4751419603185574,0.24762370095561378,0.8201709678654685,0.38769100603438816,0.13824730400601076,0.48114879129709004,1.3105491825090652,0.5926000012550503
T,nearest_transition,29,0.6452494112033181,0.3536632785914975,1.1523853318137836,0.5006211124247354,0.23131179704949134,0.580413935274964,1.0523723518944101,0.6122000049799681
T,random,29,4.939529665122211,2.2611341725306184,7.852625854054931,3.0710273455981305,0.807944071770205,3.7451180989474406,6.5009778272817895,0.298099999781698
T,recent,29,2.7531946434928263,0.9894699714858617,3.836146464726918,2.6802412127571547,0.687873132401736,3.2448763810132983,5.1054820196450725,0.15949999215081334
