test_batch,strategy,history_batches,selection_time_ms
36,recent,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",0.15380000695586205
36,random,"1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,29,30,32,33,34",0.30869999318383634
36,nearest_initial,"5,20,17,35,6,0,19,14,32,15,25,24,26,9,31,12,13,28,30,29,18,10,22,23,3,33,34,2,8,21",0.6186999962665141
36,nearest_target,"21,20,10,22,33,26,15,32,27,12,11,28,29,17,8,5,1,19,2,9,14,3,0,4,16,31,13,6,7,34",0.6571999983862042
36,nearest_transition,"20,15,0,26,17,5,32,24,19,14,35,31,6,12,10,28,25,29,3,22,33,21,2,7,1,9,27,11,13,30",0.647299995762296
65,recent,"35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",0.14459999511018395
65,random,"11,12,13,14,15,16,17,18,19,20,21,22,25,31,32,35,36,37,44,46,48,49,53,56,58,59,60,62,63,64",0.298099999781698
65,nearest_initial,"39,18,10,3,2,57,64,4,8,15,62,30,29,32,7,49,1,61,14,31,25,52,41,60,43,16,28,13,12,0",0.5138999986229464
65,nearest_target,"4,62,35,19,16,34,55,5,18,41,37,52,43,59,40,13,31,58,14,57,54,8,45,51,24,44,23,25,11,30",0.6248999998206273
65,nearest_transition,"18,4,62,43,1,16,41,7,2,27,34,29,57,31,39,64,8,37,25,3,11,14,21,61,22,51,12,30,47,52",0.706300008459948
165,recent,"135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164",0.1588000013725832
165,random,"3,8,15,19,27,41,42,49,61,63,71,76,81,84,87,88,98,105,107,116,122,123,131,133,134,139,140,142,151,158",0.3003000019816682
165,nearest_initial,"99,83,75,37,109,22,141,142,136,23,11,116,21,82,149,48,68,70,133,121,43,34,33,27,126,110,84,122,47,81",0.5920000112382695
165,nearest_target,"111,123,79,96,75,134,24,30,156,155,25,150,77,99,136,40,59,73,114,48,23,143,95,13,31,151,76,14,117,157",0.5829000001540408
165,nearest_transition,"75,99,23,136,134,40,48,122,117,87,150,106,13,84,52,30,68,143,59,111,70,159,142,79,104,119,155,126,94,145",0.5945000011706725
174,recent,"144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173",0.14519999967887998
174,random,"5,8,16,17,22,36,40,48,49,50,57,63,76,81,89,91,98,102,103,120,125,128,138,145,149,150,151,156,171,172",0.29149999318178743
174,nearest_initial,"48,133,22,126,47,23,70,121,82,28,37,170,136,165,51,149,75,117,13,43,116,122,141,150,21,83,99,171,33,81",0.7520999934058636
174,nearest_target,"68,65,4,62,16,35,19,126,34,101,66,139,55,70,172,100,127,163,18,5,171,87,107,113,37,145,72,104,41,43",0.5651999963447452
174,nearest_transition,"126,70,171,37,145,84,143,34,131,68,52,136,11,16,111,87,94,30,13,169,142,43,117,122,116,149,27,106,104,54",0.6110999966040254
204,recent,"174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203",0.15809999604243785
204,random,"1,4,6,8,10,18,20,31,32,38,45,55,56,62,66,70,91,100,119,120,128,136,146,165,166,169,171,177,192,200",0.2766999969026074
204,nearest_initial,"23,22,202,174,165,133,75,37,121,203,149,116,48,169,136,83,99,109,141,126,70,33,82,122,21,47,142,11,117,170",0.5164000031072646
204,nearest_target,"151,48,114,89,184,189,99,56,155,97,91,102,30,157,152,156,167,90,96,159,9,188,179,150,165,123,111,79,14,24",0.5721999914385378
204,nearest_transition,"48,99,40,134,150,122,117,165,159,75,106,13,59,136,155,79,23,87,179,119,30,52,104,171,142,194,73,200,143,109",0.6540000031236559
207,recent,"177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206",0.15039999561849982
207,random,"0,1,20,26,44,48,49,67,78,84,92,99,101,102,105,106,109,110,128,136,137,140,145,146,154,161,176,188,197,201",0.29919999360572547
207,nearest_initial,"10,206,103,92,197,39,57,189,190,72,153,129,3,65,91,160,188,90,186,98,182,191,154,8,4,162,148,2,158,152",0.5819999933009967
207,nearest_target,"162,57,43,180,37,186,193,191,100,18,192,113,183,197,8,44,118,34,16,198,137,54,55,126,72,163,127,19,182,78",0.637700009974651
207,nearest_transition,"57,197,191,182,8,162,72,186,103,154,4,100,86,18,180,148,160,39,65,139,113,158,137,62,93,118,10,49,43,129",0.6579000037163496
229,recent,"199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228",0.16080000204965472
229,random,"4,11,14,20,23,39,43,45,49,50,84,91,106,112,117,124,135,145,160,161,183,186,190,194,199,200,208,211,221,228",0.3288000007160008
229,nearest_initial,"78,24,26,167,135,77,217,76,212,144,125,166,80,112,124,96,201,25,53,178,60,74,168,97,95,41,107,120,85,137",0.5986000032862648
229,nearest_target,"171,66,139,35,87,70,145,101,104,65,217,4,62,195,107,41,174,68,176,131,84,106,119,194,126,19,117,172,122,16",0.5825999978696927
229,nearest_transition,"217,195,107,31,210,118,185,41,24,137,156,157,166,97,167,76,152,124,172,77,205,95,14,160,212,180,100,158,25,177",0.6267999997362494
232,recent,"202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231",0.20030001178383827
232,random,"0,12,22,28,29,35,56,58,61,64,69,73,75,86,90,95,96,97,98,113,125,127,131,151,158,178,179,216,222,231",0.38219999987632036
232,nearest_initial,"67,36,230,140,5,172,66,63,71,102,108,175,88,196,69,105,20,146,231,173,218,6,127,199,42,132,0,17,177,35",0.6597999890800565
232,nearest_target,"41,217,104,194,84,52,119,106,145,94,131,176,171,87,95,143,216,229,124,59,177,73,117,139,76,70,230,40,66,231",0.5774000019300729
232,nearest_transition,"66,123,35,230,177,211,101,198,5,231,96,19,14,192,25,41,95,127,151,77,172,76,223,73,55,107,166,189,188,124",0.5853999900864437
234,recent,"204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233",0.14560000272467732
234,random,"14,23,24,33,44,62,63,72,84,94,103,113,115,117,119,122,124,136,142,147,153,177,179,183,185,195,198,215,227,232",0.29269998776726425
234,nearest_initial,"111,61,94,113,62,176,145,29,64,130,200,30,131,84,110,16,143,81,18,179,34,27,222,43,219,82,154,70,21,136",0.5858000076841563
234,nearest_target,"217,145,232,104,194,87,41,84,171,94,52,119,106,229,131,176,70,139,95,143,66,231,124,101,216,35,73,177,59,117",0.5443999980343506
234,nearest_transition,"145,94,176,34,16,84,70,62,111,131,200,37,143,174,126,43,179,68,216,113,136,30,171,52,11,18,65,27,139,13",0.6022000015946105
250,recent,"220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249",0.16199999663513154
250,random,"5,12,17,22,32,33,41,42,47,52,75,95,101,110,121,128,145,153,173,176,187,193,202,213,225,229,236,240,243,249",0.2646000066306442
