test_batch,output,history_size,learned_kernel
36,Cb,1,"1.01**2 * RBF(length_scale=[0.584, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=1e-08)"
36,T,1,"2.56**2 * RBF(length_scale=[1.42, 1.01, 1.01, 1.01, 1.01, 1.01]) + WhiteKernel(noise_level=0.0066)"
36,Cb,3,"1.4**2 * RBF(length_scale=[1.47, 20, 20, 2.63, 20, 1.93]) + WhiteKernel(noise_level=5.59e-05)"
36,T,3,"1.86**2 * RBF(length_scale=[0.763, 20, 11.8, 20, 20, 2.01]) + WhiteKernel(noise_level=0.000653)"
36,Cb,5,"1.21**2 * RBF(length_scale=[1.42, 20, 20, 1.99, 20, 2.58]) + WhiteKernel(noise_level=3.68e-05)"
36,T,5,"1.8**2 * RBF(length_scale=[1.53, 2.74, 6.62, 20, 20, 1.43]) + WhiteKernel(noise_level=0.00156)"
36,Cb,7,"0.936**2 * RBF(length_scale=[1, 1.01, 20, 20, 20, 1.72]) + WhiteKernel(noise_level=6.8e-05)"
36,T,7,"1.04**2 * RBF(length_scale=[0.754, 20, 20, 20, 0.219, 2.3]) + WhiteKernel(noise_level=0.00039)"
36,Cb,9,"1.09**2 * RBF(length_scale=[1.02, 1.31, 20, 20, 20, 2.32]) + WhiteKernel(noise_level=6.12e-05)"
36,T,9,"0.958**2 * RBF(length_scale=[0.769, 20, 0.656, 0.445, 0.826, 14.9]) + WhiteKernel(noise_level=0.000361)"
36,Cb,12,"1.05**2 * RBF(length_scale=[1.01, 1.34, 20, 8.33, 20, 2.19]) + WhiteKernel(noise_level=4.56e-05)"
36,T,12,"1.49**2 * RBF(length_scale=[0.74, 1.71, 3.22, 4.94, 20, 2.1]) + WhiteKernel(noise_level=0.000307)"
36,Cb,15,"1.58**2 * RBF(length_scale=[0.861, 1.78, 20, 2.46, 20, 4.79]) + WhiteKernel(noise_level=9.01e-05)"
36,T,15,"3.05**2 * RBF(length_scale=[0.736, 2.57, 8.28, 2.82, 20, 9.42]) + WhiteKernel(noise_level=0.000596)"
36,Cb,20,"1.73**2 * RBF(length_scale=[0.835, 1.94, 20, 3.8, 20, 5.63]) + WhiteKernel(noise_level=6.95e-05)"
36,T,20,"3.2**2 * RBF(length_scale=[0.486, 3.29, 13.1, 4.07, 20, 11.7]) + WhiteKernel(noise_level=1.29e-05)"
36,Cb,30,"2.06**2 * RBF(length_scale=[0.52, 2.22, 20, 4.26, 20, 8.68]) + WhiteKernel(noise_level=3.15e-06)"
36,T,30,"2.85**2 * RBF(length_scale=[0.462, 2.94, 10.8, 3.99, 20, 12.6]) + WhiteKernel(noise_level=1.07e-05)"
65,Cb,1,"1.01**2 * RBF(length_scale=[1.13, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=8.44e-05)"
65,T,1,"1.28**2 * RBF(length_scale=[1.38, 0.996, 0.996, 0.996, 0.996, 0.996]) + WhiteKernel(noise_level=0.00081)"
65,Cb,3,"0.886**2 * RBF(length_scale=[1.18, 1.21, 0.8, 1.01, 1.91, 2.48]) + WhiteKernel(noise_level=4.16e-05)"
65,T,3,"2.23**2 * RBF(length_scale=[1.88, 4.34, 0.597, 20, 20, 20]) + WhiteKernel(noise_level=0.00143)"
65,Cb,5,"1.09**2 * RBF(length_scale=[1.18, 2.32, 14.5, 20, 20, 2.16]) + WhiteKernel(noise_level=4.49e-05)"
65,T,5,"1.7**2 * RBF(length_scale=[0.786, 20, 3.22, 7.4, 2.85, 5.94]) + WhiteKernel(noise_level=0.000248)"
65,Cb,7,"1.12**2 * RBF(length_scale=[0.908, 2.93, 20, 2.79, 20, 1.89]) + WhiteKernel(noise_level=6.68e-05)"
65,T,7,"1.67**2 * RBF(length_scale=[0.767, 20, 4.69, 5.31, 20, 2.23]) + WhiteKernel(noise_level=0.000199)"
65,Cb,9,"0.937**2 * RBF(length_scale=[0.872, 1.7, 20, 1.85, 20, 1.97]) + WhiteKernel(noise_level=5.3e-05)"
65,T,9,"1.8**2 * RBF(length_scale=[0.757, 3.23, 6.37, 9.1, 20, 3.85]) + WhiteKernel(noise_level=0.000191)"
65,Cb,12,"1.11**2 * RBF(length_scale=[0.872, 1.48, 20, 3.56, 20, 2.9]) + WhiteKernel(noise_level=4.76e-05)"
65,T,12,"2.25**2 * RBF(length_scale=[0.759, 3.06, 9.85, 10, 20, 5.83]) + WhiteKernel(noise_level=0.000168)"
65,Cb,15,"1.19**2 * RBF(length_scale=[0.869, 1.61, 20, 3.51, 20, 3.62]) + WhiteKernel(noise_level=4.5e-05)"
65,T,15,"2.81**2 * RBF(length_scale=[0.758, 3.24, 13.8, 11, 20, 7.28]) + WhiteKernel(noise_level=0.000169)"
65,Cb,20,"1.35**2 * RBF(length_scale=[0.829, 1.56, 20, 4.64, 20, 4.86]) + WhiteKernel(noise_level=4.48e-05)"
65,T,20,"2.58**2 * RBF(length_scale=[0.487, 3.05, 17.4, 5.34, 20, 11.6]) + WhiteKernel(noise_level=4.44e-06)"
65,Cb,30,"1.61**2 * RBF(length_scale=[0.539, 1.81, 20, 4.65, 20, 7.93]) + WhiteKernel(noise_level=1.39e-06)"
65,T,30,"2.56**2 * RBF(length_scale=[0.497, 2.73, 17, 3.92, 19.8, 9.57]) + WhiteKernel(noise_level=5.06e-06)"
165,Cb,1,"1.12**2 * RBF(length_scale=[0.859, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.000317)"
165,T,1,"1.18**2 * RBF(length_scale=[0.863, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.000404)"
165,Cb,3,"1.02**2 * RBF(length_scale=[0.878, 20, 0.275, 1.02, 15, 0.534]) + WhiteKernel(noise_level=0.000154)"
165,T,3,"1.37**2 * RBF(length_scale=[0.84, 20, 20, 1.34, 20, 2.4]) + WhiteKernel(noise_level=0.000391)"
165,Cb,5,"2.19**2 * RBF(length_scale=[1.01, 1.48, 20, 20, 20, 5.23]) + WhiteKernel(noise_level=0.000169)"
165,T,5,"2.04**2 * RBF(length_scale=[0.862, 3.05, 20, 2.29, 9.09, 6.26]) + WhiteKernel(noise_level=0.000326)"
165,Cb,7,"1.78**2 * RBF(length_scale=[0.936, 1.38, 20, 20, 20, 4.74]) + WhiteKernel(noise_level=0.000208)"
165,T,7,"1.94**2 * RBF(length_scale=[0.799, 2.38, 12.7, 20, 20, 4.51]) + WhiteKernel(noise_level=0.000317)"
165,Cb,9,"1.3**2 * RBF(length_scale=[0.933, 1.03, 20, 1.56, 20, 3.37]) + WhiteKernel(noise_level=0.000135)"
165,T,9,"2.22**2 * RBF(length_scale=[0.866, 20, 3.96, 2.3, 20, 5.52]) + WhiteKernel(noise_level=0.0003)"
165,Cb,12,"1.39**2 * RBF(length_scale=[0.832, 0.935, 20, 2.14, 20, 4.62]) + WhiteKernel(noise_level=0.000176)"
165,T,12,"2.87**2 * RBF(length_scale=[0.777, 2.82, 20, 3.81, 20, 9.51]) + WhiteKernel(noise_level=0.000371)"
165,Cb,15,"1.33**2 * RBF(length_scale=[0.831, 1.01, 20, 1.67, 20, 5.43]) + WhiteKernel(noise_level=0.000144)"
165,T,15,"2.95**2 * RBF(length_scale=[0.805, 3.08, 19.6, 2.59, 18.7, 10]) + WhiteKernel(noise_level=0.000405)"
165,Cb,20,"1.53**2 * RBF(length_scale=[0.839, 1.3, 20, 2.09, 20, 6.39]) + WhiteKernel(noise_level=0.000113)"
165,T,20,"2.83**2 * RBF(length_scale=[0.496, 2.82, 19.5, 2.79, 20, 12]) + WhiteKernel(noise_level=5.51e-06)"
165,Cb,30,"2.04**2 * RBF(length_scale=[0.531, 1.84, 20, 2.92, 20, 11.1]) + WhiteKernel(noise_level=4.03e-06)"
165,T,30,"2.62**2 * RBF(length_scale=[0.477, 2.5, 13.4, 2.61, 17.1, 11.5]) + WhiteKernel(noise_level=4.28e-06)"
174,Cb,1,"1.42**2 * RBF(length_scale=[1.32, 0.999, 0.999, 0.999, 0.999, 0.999]) + WhiteKernel(noise_level=0.000239)"
174,T,1,"1.4**2 * RBF(length_scale=[1.13, 0.999, 0.999, 0.999, 0.999, 0.999]) + WhiteKernel(noise_level=0.00224)"
174,Cb,3,"1.06**2 * RBF(length_scale=[1.02, 20, 0.2, 2.37, 0.489, 6.29]) + WhiteKernel(noise_level=0.00022)"
174,T,3,"1.13**2 * RBF(length_scale=[0.824, 0.206, 1.68, 0.208, 0.209, 0.209]) + WhiteKernel(noise_level=0.000782)"
174,Cb,5,"1.37**2 * RBF(length_scale=[1.18, 2.47, 20, 2.73, 20, 3.55]) + WhiteKernel(noise_level=7.61e-05)"
174,T,5,"1.4**2 * RBF(length_scale=[0.942, 1.09, 20, 3.66, 20, 3.36]) + WhiteKernel(noise_level=0.000479)"
174,Cb,7,"1.04**2 * RBF(length_scale=[1.12, 1.17, 20, 20, 20, 2.14]) + WhiteKernel(noise_level=3.02e-05)"
174,T,7,"1.28**2 * RBF(length_scale=[1.01, 0.847, 20, 1.97, 20, 3.78]) + WhiteKernel(noise_level=0.000855)"
174,Cb,9,"1.09**2 * RBF(length_scale=[0.83, 1.23, 20, 2.08, 20, 3.06]) + WhiteKernel(noise_level=8.86e-05)"
