output,history_size,metric,mean_baseline_9,mean_candidate,percent_change_vs_9,candidate_better_count,baseline_better_count,ties,wilcoxon_statistic,wilcoxon_p_value
Cb,1,final_abs_error,0.13399010150466314,0.31332177857264915,133.83949639126507,6,23,0,65.0,0.0005505755543708801
Cb,1,hidden_mae,0.07265046877136903,0.1801915714097511,148.02533893733542,8,21,0,62.0,0.0004079751670360565
Cb,1,final_posterior_std,0.12838319551101074,0.23785112636706857,85.26655721594759,6,23,0,35.0,1.5951693058013916e-05
Cb,3,final_abs_error,0.13399010150466314,0.23990080327649208,79.04367604956475,8,21,0,86.0,0.0035108327865600586
Cb,3,hidden_mae,0.07265046877136903,0.13244982828177207,82.31104426675012,9,20,0,86.0,0.0035108327865600586
Cb,3,final_posterior_std,0.12838319551101074,0.21538193949136,67.76489994197709,4,25,0,25.0,3.3676624298095703e-06
Cb,5,final_abs_error,0.13399010150466314,0.1630644558908558,21.698882275405108,14,15,0,195.0,0.6391207613050938
Cb,5,hidden_mae,0.07265046877136903,0.08900375957561864,22.509546160966142,13,16,0,190.0,0.5647306069731712
Cb,5,final_posterior_std,0.12838319551101074,0.1832117310895054,42.70694101378112,7,22,0,47.0,7.73109495639801e-05
Cb,7,final_abs_error,0.13399010150466314,0.15762683937884395,17.64065972691138,14,15,0,196.0,0.6544641703367233
Cb,7,hidden_mae,0.07265046877136903,0.08817577413051769,21.369862606126855,13,16,0,187.0,0.522130947560072
Cb,7,final_posterior_std,0.12838319551101074,0.1460652921235625,13.772905824762137,9,20,0,97.0,0.008007697761058807
Cb,12,final_abs_error,0.13399010150466314,0.0715977300078482,-46.56491098683402,22,7,0,83.0,0.0027591250836849213
Cb,12,hidden_mae,0.07265046877136903,0.04480958295361632,-38.32168778616965,21,8,0,103.0,0.012109261006116867
Cb,12,final_posterior_std,0.12838319551101074,0.0838974960419586,-34.650718337383054,27,2,0,20.0,1.3820827007293701e-06
Cb,15,final_abs_error,0.13399010150466314,0.045487919316190534,-66.05128378486418,25,4,0,39.0,2.780929207801819e-05
Cb,15,hidden_mae,0.07265046877136903,0.03377396635908532,-53.511702084990034,22,7,0,67.0,0.0006687678396701813
Cb,15,final_posterior_std,0.12838319551101074,0.06729233858085472,-47.58477672018733,26,3,0,6.0,5.21540641784668e-08
Cb,20,final_abs_error,0.13399010150466314,0.026607906364465382,-80.14188655306052,26,3,0,26.0,3.982335329055786e-06
Cb,20,hidden_mae,0.07265046877136903,0.019532775721884804,-73.11404034658821,27,2,0,16.0,6.295740604400635e-07
Cb,20,final_posterior_std,0.12838319551101074,0.039408580289057166,-69.30394189660336,28,1,0,1.0,7.450580596923828e-09
Cb,30,final_abs_error,0.13399010150466314,0.024853304450531813,-81.45138769846602,27,2,0,26.0,3.982335329055786e-06
Cb,30,hidden_mae,0.07265046877136903,0.013153373393994415,-81.89499170970518,26,3,0,25.0,3.3676624298095703e-06
Cb,30,final_posterior_std,0.12838319551101074,0.013811919460016258,-89.24164536874167,29,0,0,0.0,3.725290298461914e-09
T,1,final_abs_error,50.09590552507648,127.65955256403403,154.83031242968858,10,19,0,114.0,0.02433420717716217
T,1,hidden_mae,28.55704626798077,66.70460047192225,133.5836831511316,10,19,0,120.0,0.03453366830945015
T,1,final_posterior_std,51.31737884681559,126.56215774606315,146.6263098196348,4,25,0,24.0,2.8386712074279785e-06
T,3,final_abs_error,50.09590552507648,130.514537068037,160.52935005377913,5,24,0,38.0,2.4273991584777832e-05
