test_batch,strategy,history_batches,selection_time_ms
36,full,"20,15,0,26,17,5,32,24,19,14,35,31,6,12,10,28,25,29,3,22,33,21,2,7,1,9,27,11,13,30",0.5614999972749501
36,without_delta_frac_A,"20,17,0,6,15,26,32,5,9,19,35,24,14,28,10,12,31,25,33,29,3,22,2,21,13,7,1,30,27,11",0.533799990080297
36,without_delta_Tc,"20,5,15,14,19,35,24,31,0,32,25,26,12,17,18,29,28,22,10,4,3,21,34,27,16,6,2,7,1,11",0.5116999964229763
36,initial_only,"5,20,17,35,6,0,19,14,32,15,25,24,26,9,31,12,13,28,30,29,18,10,22,23,3,33,34,2,8,21",0.49449999642092735
36,disturbance_only,"20,15,26,0,32,24,17,10,5,19,14,31,12,3,28,22,33,1,29,35,21,7,6,2,25,27,11,9,8,13",0.611600000411272
65,full,"18,4,62,43,1,16,41,7,2,27,34,29,57,31,39,64,8,37,25,3,11,14,21,61,22,51,12,30,47,52",0.6176000024424866
65,without_delta_frac_A,"57,18,4,8,30,62,52,39,64,43,2,16,13,34,7,1,41,27,48,29,25,3,37,11,23,31,61,59,51,14",0.4819000023417175
65,without_delta_Tc,"18,15,62,4,1,3,31,29,2,7,14,60,41,10,43,39,61,64,25,16,12,27,32,42,34,47,36,22,21,20",0.480500006233342
65,initial_only,"39,18,10,3,2,57,64,4,8,15,62,30,29,32,7,49,1,61,14,31,25,52,41,60,43,16,28,13,12,0",0.5842000100528821
65,disturbance_only,"18,4,43,62,16,37,27,34,11,41,1,54,21,22,7,31,25,29,2,51,57,8,64,12,55,3,39,14,47,50",0.6533999985549599
165,full,"75,99,23,136,134,40,48,122,117,87,150,106,13,84,52,30,68,143,59,111,70,159,142,79,104,119,155,126,94,145",0.45510000200010836
165,without_delta_frac_A,"75,136,99,23,126,70,11,37,122,43,134,87,117,84,34,40,48,68,16,142,27,143,13,52,145,116,106,30,150,111",0.4859000036958605
165,without_delta_Tc,"75,99,23,48,134,136,40,122,117,159,150,87,106,13,155,84,79,59,68,138,30,52,142,9,161,119,143,70,94,104",0.5432000034488738
165,initial_only,"99,83,75,37,109,22,141,142,136,23,11,116,21,82,149,48,68,70,133,121,43,34,33,27,126,110,84,122,47,81",0.5603000026894733
165,disturbance_only,"75,99,23,134,40,136,87,106,122,117,48,150,52,59,30,119,13,143,111,104,79,84,155,73,68,159,94,70,142,131",0.5010000022593886
174,full,"126,70,171,37,145,84,143,34,131,68,52,136,11,16,111,87,94,30,13,169,142,43,117,122,116,149,27,106,104,54",0.47140000970102847
174,without_delta_frac_A,"126,23,165,136,75,70,43,171,37,87,99,84,34,134,52,143,117,122,16,145,40,68,106,11,13,131,48,30,111,150",0.46120000479277223
174,without_delta_Tc,"126,70,28,83,33,51,149,109,50,110,169,142,171,170,116,11,47,37,145,34,121,68,12,84,13,141,21,54,133,143",0.5055999936303124
174,initial_only,"48,133,22,126,47,23,70,121,82,28,37,170,136,165,51,149,75,117,13,43,116,122,141,150,21,83,99,171,33,81",0.4841999907512218
174,disturbance_only,"126,131,70,111,143,145,171,84,34,68,52,94,16,37,11,30,87,136,89,62,104,142,169,13,43,124,27,117,106,122",0.5118999979458749
204,full,"48,99,40,134,150,122,117,165,159,75,106,13,59,136,155,79,23,87,179,119,30,52,104,171,142,194,73,200,143,109",0.49340000259689987
204,without_delta_frac_A,"48,169,116,149,142,202,11,122,117,150,13,133,99,27,40,134,22,21,121,51,109,170,50,83,106,159,54,171,165,136",0.5112000071676448
