test_batch,output,strategy,learned_kernel
36,Cb,full,"1.8**2 * RBF(length_scale=[0.792, 1.85, 20, 5.11, 20, 6.46]) + WhiteKernel(noise_level=4.41e-05)"
36,T,full,"3.04**2 * RBF(length_scale=[0.487, 2.87, 12.9, 3.4, 20, 11.7]) + WhiteKernel(noise_level=3.17e-06)"
36,Cb,without_delta_frac_A,"1.8**2 * RBF(length_scale=[0.792, 1.85, 20, 5.11, 20, 6.46]) + WhiteKernel(noise_level=4.41e-05)"
36,T,without_delta_frac_A,"3.04**2 * RBF(length_scale=[0.487, 2.87, 12.9, 3.4, 20, 11.7]) + WhiteKernel(noise_level=3.17e-06)"
36,Cb,without_delta_Tc,"1.76**2 * RBF(length_scale=[0.975, 1.91, 20, 3.76, 20, 7.14]) + WhiteKernel(noise_level=2.93e-05)"
36,T,without_delta_Tc,"3.88**2 * RBF(length_scale=[0.495, 3.08, 13.3, 5.01, 20, 18.8]) + WhiteKernel(noise_level=1.12e-06)"
36,Cb,initial_only,"2.02**2 * RBF(length_scale=[0.752, 1.99, 20, 4.42, 20, 7.17]) + WhiteKernel(noise_level=7.05e-05)"
36,T,initial_only,"2.61**2 * RBF(length_scale=[0.48, 2.78, 8.72, 3.54, 20, 10.2]) + WhiteKernel(noise_level=1.62e-05)"
36,Cb,disturbance_only,"1.83**2 * RBF(length_scale=[0.823, 1.89, 20, 4.3, 20, 6.7]) + WhiteKernel(noise_level=4.11e-05)"
36,T,disturbance_only,"3.04**2 * RBF(length_scale=[0.488, 3.17, 13.2, 3.38, 20, 11.9]) + WhiteKernel(noise_level=2.07e-06)"
65,Cb,full,"1.99**2 * RBF(length_scale=[0.903, 1.8, 20, 4.3, 20, 8.36]) + WhiteKernel(noise_level=2.86e-05)"
65,T,full,"2.32**2 * RBF(length_scale=[0.506, 2.92, 11.1, 4.57, 20, 18.9]) + WhiteKernel(noise_level=2.5e-06)"
65,Cb,without_delta_frac_A,"2.1**2 * RBF(length_scale=[0.803, 1.96, 20, 4.03, 20, 9.22]) + WhiteKernel(noise_level=7.69e-05)"
65,T,without_delta_frac_A,"1.88**2 * RBF(length_scale=[0.479, 2.74, 11.2, 3.06, 20, 9.96]) + WhiteKernel(noise_level=8.55e-06)"
65,Cb,without_delta_Tc,"2.2**2 * RBF(length_scale=[1.25, 2.1, 20, 6.35, 20, 7.62]) + WhiteKernel(noise_level=2.47e-05)"
65,T,without_delta_Tc,"3.09**2 * RBF(length_scale=[0.512, 3.1, 9.61, 8.44, 20, 18.4]) + WhiteKernel(noise_level=1.22e-06)"
65,Cb,initial_only,"1.9**2 * RBF(length_scale=[0.845, 1.78, 20, 3.59, 20, 7.65]) + WhiteKernel(noise_level=3.04e-05)"
65,T,initial_only,"2.44**2 * RBF(length_scale=[0.477, 2.69, 11.3, 3.53, 20, 19.6]) + WhiteKernel(noise_level=9.94e-07)"
65,Cb,disturbance_only,"2.14**2 * RBF(length_scale=[1.31, 1.93, 20, 5.98, 20, 7.46]) + WhiteKernel(noise_level=2.23e-05)"
65,T,disturbance_only,"2.69**2 * RBF(length_scale=[0.516, 3.01, 13.3, 8.34, 20, 13.6]) + WhiteKernel(noise_level=9.35e-07)"
165,Cb,full,"1.31**2 * RBF(length_scale=[0.448, 2.59, 20, 6.36, 20, 7.09]) + WhiteKernel(noise_level=7.32e-07)"
165,T,full,"2.34**2 * RBF(length_scale=[0.401, 3.64, 19.5, 8.48, 20, 8.76]) + WhiteKernel(noise_level=5.82e-06)"
165,Cb,without_delta_frac_A,"1.45**2 * RBF(length_scale=[0.477, 1.73, 20, 4.49, 20, 7.15]) + WhiteKernel(noise_level=1.66e-06)"
165,T,without_delta_frac_A,"2.14**2 * RBF(length_scale=[0.436, 2.46, 17.4, 5.65, 20, 8.69]) + WhiteKernel(noise_level=8.9e-06)"
165,Cb,without_delta_Tc,"1.43**2 * RBF(length_scale=[0.442, 2.93, 20, 7.48, 20, 8.3]) + WhiteKernel(noise_level=5.63e-07)"
165,T,without_delta_Tc,"2.91**2 * RBF(length_scale=[0.392, 4.12, 20, 8.78, 20, 15.3]) + WhiteKernel(noise_level=3.77e-06)"
165,Cb,initial_only,"2.09**2 * RBF(length_scale=[0.545, 1.71, 20, 7.64, 20, 9.93]) + WhiteKernel(noise_level=5.46e-06)"
165,T,initial_only,"2.87**2 * RBF(length_scale=[0.469, 2.48, 15.1, 5.9, 20, 20]) + WhiteKernel(noise_level=4.23e-06)"
165,Cb,disturbance_only,"1.31**2 * RBF(length_scale=[0.442, 2.88, 20, 6.8, 20, 7.22]) + WhiteKernel(noise_level=5.62e-07)"
165,T,disturbance_only,"2.14**2 * RBF(length_scale=[0.394, 3.77, 19.3, 8, 20, 8.04]) + WhiteKernel(noise_level=4.74e-06)"
174,Cb,full,"1.22**2 * RBF(length_scale=[0.513, 1.64, 20, 4.24, 20, 5.53]) + WhiteKernel(noise_level=3.98e-07)"
174,T,full,"1.9**2 * RBF(length_scale=[0.461, 2.25, 10.7, 6.55, 20, 6.91]) + WhiteKernel(noise_level=1.67e-06)"
174,Cb,without_delta_frac_A,"1.35**2 * RBF(length_scale=[0.466, 1.89, 20, 4.37, 20, 6.57]) + WhiteKernel(noise_level=1.27e-06)"
174,T,without_delta_frac_A,"1.94**2 * RBF(length_scale=[0.423, 2.63, 20, 5.13, 20, 7.84]) + WhiteKernel(noise_level=8.03e-06)"
174,Cb,without_delta_Tc,"1.91**2 * RBF(length_scale=[0.602, 2.3, 20, 8.05, 20, 10.3]) + WhiteKernel(noise_level=2.23e-06)"
174,T,without_delta_Tc,"4.22**2 * RBF(length_scale=[0.527, 3.55, 19.7, 9.71, 20, 20]) + WhiteKernel(noise_level=2.65e-06)"
174,Cb,initial_only,"1.86**2 * RBF(length_scale=[0.525, 1.5, 20, 10.5, 20, 9.91]) + WhiteKernel(noise_level=3.68e-06)"
174,T,initial_only,"2.61**2 * RBF(length_scale=[0.467, 2.17, 13.8, 6.9, 20, 20]) + WhiteKernel(noise_level=8.03e-06)"
174,Cb,disturbance_only,"1.48**2 * RBF(length_scale=[0.521, 1.9, 20, 5.36, 20, 6.78]) + WhiteKernel(noise_level=7.93e-07)"
174,T,disturbance_only,"2.05**2 * RBF(length_scale=[0.454, 2.53, 10.7, 6.78, 20, 6.59]) + WhiteKernel(noise_level=2.34e-06)"
204,Cb,full,"1.37**2 * RBF(length_scale=[0.444, 2.93, 20, 6.97, 20, 7.9]) + WhiteKernel(noise_level=5.95e-07)"
204,T,full,"2.41**2 * RBF(length_scale=[0.381, 4.13, 20, 8.83, 20, 11.2]) + WhiteKernel(noise_level=3.5e-06)"
204,Cb,without_delta_frac_A,"1.52**2 * RBF(length_scale=[0.511, 1.49, 20, 6.83, 20, 10.5]) + WhiteKernel(noise_level=2.56e-06)"
204,T,without_delta_frac_A,"2.01**2 * RBF(length_scale=[0.44, 2.03, 15.3, 6.31, 20, 15.3]) + WhiteKernel(noise_level=3.73e-06)"
204,Cb,without_delta_Tc,"1.35**2 * RBF(length_scale=[0.434, 3.19, 20, 7.88, 20, 8.48]) + WhiteKernel(noise_level=4.51e-07)"
204,T,without_delta_Tc,"2.82**2 * RBF(length_scale=[0.378, 4.73, 20, 9.77, 20, 16]) + WhiteKernel(noise_level=2.95e-06)"
204,Cb,initial_only,"1.96**2 * RBF(length_scale=[0.524, 1.6, 20, 7.54, 20, 13.7]) + WhiteKernel(noise_level=3.81e-06)"
204,T,initial_only,"2.6**2 * RBF(length_scale=[0.469, 2.2, 14.8, 5.86, 20, 20]) + WhiteKernel(noise_level=6.83e-06)"
204,Cb,disturbance_only,"1.24**2 * RBF(length_scale=[0.433, 3.14, 20, 7.38, 20, 7.98]) + WhiteKernel(noise_level=3.51e-07)"
204,T,disturbance_only,"2.23**2 * RBF(length_scale=[0.353, 4.23, 20, 8.55, 20, 13.6]) + WhiteKernel(noise_level=1.44e-06)"
207,Cb,full,"2.58**2 * RBF(length_scale=[1.28, 3.47, 20, 13.5, 20, 10.9]) + WhiteKernel(noise_level=2.04e-05)"
207,T,full,"2.64**2 * RBF(length_scale=[0.464, 5.31, 17.9, 10.1, 20, 20]) + WhiteKernel(noise_level=1e-08)"
207,Cb,without_delta_frac_A,"1.6**2 * RBF(length_scale=[0.51, 1.9, 20, 3.23, 20, 9.1]) + WhiteKernel(noise_level=9.21e-08)"
207,T,without_delta_frac_A,"1.77**2 * RBF(length_scale=[0.437, 2.35, 19.7, 3.62, 20, 20]) + WhiteKernel(noise_level=1.51e-08)"
207,Cb,without_delta_Tc,"2.99**2 * RBF(length_scale=[1.25, 5.34, 20, 20, 20, 12.8]) + WhiteKernel(noise_level=2.55e-05)"
207,T,without_delta_Tc,"3.41**2 * RBF(length_scale=[0.468, 8.58, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
207,Cb,initial_only,"2.99**2 * RBF(length_scale=[1.25, 1.87, 20, 6.5, 20, 12.5]) + WhiteKernel(noise_level=2.99e-05)"
207,T,initial_only,"2.04**2 * RBF(length_scale=[0.475, 2.45, 16.5, 5.38, 20, 20]) + WhiteKernel(noise_level=1e-08)"
207,Cb,disturbance_only,"2.54**2 * RBF(length_scale=[1.27, 3.74, 20, 12.3, 20, 11.1]) + WhiteKernel(noise_level=1.9e-05)"
207,T,disturbance_only,"2.95**2 * RBF(length_scale=[0.462, 6.16, 20, 10, 20, 20]) + WhiteKernel(noise_level=1e-08)"
229,Cb,full,"1.98**2 * RBF(length_scale=[1.31, 1.92, 20, 3.59, 20, 8.56]) + WhiteKernel(noise_level=2.21e-05)"
229,T,full,"3.05**2 * RBF(length_scale=[0.557, 2.52, 18.2, 6.39, 20, 20]) + WhiteKernel(noise_level=1.67e-05)"
