output,strategy,n_tests,mean_final_mae,ci95_final_mae,final_rmse,mean_hidden_mae,ci95_hidden_mae,mean_hidden_rmse,mean_final_posterior_std,median_selection_time_ms
Cb,disturbance_only,29,0.006307379377358774,0.004336985193686869,0.013299551966067006,0.003438462372972639,0.001805736030717644,0.00415479287211048,0.004298728757690891,0.5644000048050657
Cb,full,29,0.003314663914150663,0.0017616019849618024,0.005797014363706934,0.0021448459662403497,0.0009058221663200864,0.0025191101567422496,0.003521622737448604,0.49530000251252204
Cb,initial_only,29,0.005271288578240559,0.0026517108146320127,0.008890275319739946,0.0035756844678740307,0.0014171117015553398,0.0042050950766551725,0.004133883476928073,0.5269000102998689
Cb,without_delta_Tc,29,0.003766826614574565,0.0020589300897818105,0.006714677337212463,0.002215510516715612,0.001064079959942241,0.0026162960043933977,0.002433310818498542,0.5470999894896522
Cb,without_delta_frac_A,29,0.006924795605921269,0.003695605637050825,0.012144845091359928,0.003925593498272852,0.0015299368738092216,0.0048016664758742675,0.005755059972787665,0.5335000023478642
T,disturbance_only,29,0.6223727690906438,0.2978004076859639,1.0167303455757772,0.49468836153656104,0.22650260329845665,0.5624453559028766,1.048371329711194,0.5644000048050657
T,full,29,0.6452494112033181,0.3536632785914975,1.1523853318137836,0.5006211124247354,0.23131179704949134,0.580413935274964,1.0523723518944101,0.49530000251252204
T,initial_only,29,1.1621431433256204,0.5590201620717928,1.904809515939314,0.8080884601631028,0.269209679457994,0.9498060516688921,1.4400590075514212,0.5269000102998689
T,without_delta_Tc,29,0.6496724969122208,0.30789480824746185,1.0550027089171141,0.4122521949923684,0.18525335420462333,0.49482128480238824,0.7818217294603689,0.5470999894896522
T,without_delta_frac_A,29,1.1458211246552776,0.5434506224138287,1.861590610011606,0.7138544951413244,0.3100686077195429,0.8405407347962657,1.6107668238265622,0.5335000023478642
