test_batch,window_percent,history_batches
203,50,"47,12,170,82,22,141,202,21,46,11,192,13,14,73,177,59,150,41,117,106,119,37,136,95,118,105,137,132,201,120"
203,70,"47,121,12,170,82,133,22,81,141,202,51,21,83,46,109,27,11,192,188,13,14,104,73,159,177,59,52,157,150,41"
203,100,"47,121,12,170,82,133,22,81,141,202,51,21,28,149,50,29,83,116,54,110,46,61,109,33,169,27,45,183,64,11"
219,50,"202,22,21,170,82,12,203,47,141,11,46,192,13,37,14,41,177,73,117,150,136,59,106,119,118,95,137,105,132,201"
219,70,"202,133,27,22,21,81,170,121,51,82,12,203,47,141,11,83,109,188,46,192,13,206,37,52,104,14,179,160,41,216"
219,100,"202,133,27,22,21,81,29,170,121,51,116,82,12,203,47,141,11,149,169,130,54,61,64,110,83,28,50,109,215,142"
223,50,"192,46,12,170,47,203,73,177,82,22,14,202,219,141,119,95,59,21,41,13,150,106,11,117,105,118,132,137,120,136"
223,70,"192,46,12,170,47,51,203,121,133,73,177,81,104,82,22,14,202,219,141,119,83,213,95,59,109,188,21,159,41,13"
223,100,"192,45,208,19,198,46,35,44,163,58,193,101,127,5,66,55,183,12,54,170,47,51,28,203,50,121,173,133,172,164"
282,50,"12,47,203,275,82,170,22,219,202,141,21,281,46,277,192,276,223,14,11,177,41,118,13,73,95,137,274,105,272,59"
282,70,"12,47,203,275,81,82,133,170,121,22,219,51,202,141,21,281,46,277,192,276,27,188,223,251,83,109,14,11,206,236"
282,100,"12,47,203,275,81,82,133,170,121,22,255,219,244,29,51,253,202,141,21,281,54,46,28,193,277,61,149,192,116,252"
322,50,"136,273,13,117,106,150,59,11,37,119,73,276,202,219,170,21,277,281,22,141,12,47,203,82,275,282,192,46,223,14"
322,70,"179,136,273,239,216,84,278,13,52,117,106,150,104,213,59,11,159,109,37,83,251,119,27,73,51,276,202,283,219,170"
322,100,"179,136,200,273,239,216,99,30,143,245,84,165,278,171,13,122,52,117,75,111,48,87,174,70,23,106,150,204,142,126"
328,50,"59,106,73,119,150,13,117,322,136,281,277,273,192,170,223,12,11,46,202,47,219,177,203,276,21,22,282,14,41,141"
328,70,"104,59,106,73,119,150,13,52,213,117,278,216,159,291,322,136,179,316,301,51,281,283,239,277,236,305,327,273,192,170"
328,100,"104,59,106,73,119,150,13,52,213,117,194,171,278,122,79,216,87,155,40,159,48,263,55,30,134,291,143,204,261,101"
339,50,"74,120,201,132,329,274,105,321,118,137,95,272,14,177,41,323,282,223,46,275,192,12,330,47,82,203,170,281,22,219"
339,70,"125,74,178,120,42,201,132,329,218,274,105,321,15,98,292,118,297,137,158,235,280,307,264,308,243,320,217,95,157,272"
339,100,"238,125,74,178,26,120,144,42,201,132,135,314,329,218,67,60,53,274,108,112,80,105,321,140,233,15,36,168,32,212"
350,50,"150,117,106,59,13,328,119,73,322,136,273,277,281,11,170,202,349,330,12,47,219,192,46,21,276,203,22,223,141,37"
350,70,"150,117,106,59,213,13,278,331,159,328,338,104,119,52,73,322,136,216,179,273,345,239,291,283,109,51,277,281,83,84"
350,100,"150,117,106,122,59,40,48,263,213,13,278,204,331,159,328,338,134,104,119,87,79,261,52,155,171,99,73,194,322,136"
351,50,"201,274,132,120,105,74,329,137,321,118,339,323,14,95,41,177,282,275,12,82,330,47,192,272,203,46,223,219,349,170"
351,70,"201,274,132,98,120,105,74,329,137,15,321,118,297,158,178,280,125,339,243,42,344,218,292,264,290,160,308,307,217,157"
351,100,"32,212,214,80,201,274,132,98,120,53,105,74,329,332,137,15,321,118,297,78,262,158,135,168,115,178,280,238,125,265"
419,50,"74,120,201,132,339,329,274,351,105,321,137,118,95,14,323,386,177,41,272,282,275,223,46,12,192,82,330,47,203,349"
419,70,"74,120,201,132,125,339,329,178,274,351,105,42,321,218,15,373,98,391,297,137,118,409,158,292,280,243,344,307,264,235"
419,100,"74,120,201,132,238,397,135,125,379,411,339,53,329,178,26,80,274,351,105,314,32,168,144,42,212,321,108,112,60,218"
420,50,"202,22,203,141,170,349,47,21,277,82,12,275,281,330,219,276,282,11,46,192,223,13,73,150,117,59,350,106,322,328"
420,70,"121,298,202,22,203,141,133,170,349,47,21,83,51,283,277,109,82,12,275,281,81,330,406,219,276,282,251,27,11,46"
420,100,"121,298,202,22,203,141,133,170,349,149,47,116,21,83,50,51,283,277,109,244,82,375,12,275,169,281,81,28,330,406"
459,50,"74,419,201,120,132,339,329,351,274,105,321,137,118,95,14,457,323,386,177,41,444,272,282,435,275,12,46,82,223,330"
459,70,"74,419,201,120,132,125,339,178,329,351,274,105,447,42,321,15,98,218,373,391,297,137,118,409,158,280,292,243,344,264"
459,100,"74,419,201,120,135,379,238,411,132,125,80,26,339,397,178,53,329,425,351,274,168,32,144,105,212,447,112,42,314,321"
464,50,"150,59,350,119,445,106,117,73,328,13,322,136,458,277,281,273,421,448,170,46,420,330,192,12,223,47,435,11,349,202"
464,70,"213,159,150,59,350,119,445,106,117,73,328,278,13,437,104,338,345,331,291,52,406,305,216,322,136,458,283,179,277,281"
464,100,"213,79,155,159,150,59,263,350,402,119,445,376,378,106,261,48,40,117,204,194,73,122,328,352,278,422,13,437,134,104"
484,50,"41,386,177,14,95,475,479,323,444,118,435,192,282,12,137,330,223,219,105,170,274,321,47,349,281,46,351,275,448,203"
484,70,"41,306,386,177,14,446,217,157,279,95,308,475,264,307,236,479,342,188,364,206,343,320,292,471,235,334,424,344,304,316"
484,100,"41,76,25,166,231,306,386,124,177,237,14,446,31,217,156,210,211,77,319,157,107,279,472,96,167,95,247,308,475,123"
540,50,"137,118,323,351,522,105,274,201,132,329,321,120,459,41,419,74,484,14,524,386,525,282,95,177,339,444,219,475,479,435"
540,70,"137,158,280,403,290,243,118,160,344,323,297,409,391,497,98,351,499,465,429,264,522,496,105,274,346,446,279,201,217,343"
540,100,"137,438,158,271,280,180,403,248,290,387,243,118,265,377,160,401,405,344,369,323,297,409,100,39,391,487,250,451,103,416"
541,50,"46,435,223,444,330,192,12,281,47,282,170,203,277,275,349,420,82,22,421,448,202,141,219,386,21,272,475,14,177,457"
541,70,"462,46,435,223,444,330,327,192,334,436,12,455,281,443,47,282,430,170,203,304,277,283,275,349,301,316,121,51,133,503"
541,100,"462,46,435,439,253,223,254,444,45,330,417,463,327,192,334,436,193,12,455,244,337,281,443,434,388,300,47,506,282,208"
709,50,"608,192,330,223,679,435,281,651,541,444,170,12,46,277,349,678,47,448,282,203,655,561,421,420,219,73,202,275,22,82"
709,70,"608,192,316,685,443,301,578,327,330,334,223,679,563,435,281,562,304,651,430,541,436,444,170,51,12,46,462,564,283,277"
709,100,"608,452,192,707,683,335,183,55,316,649,488,685,463,252,443,301,578,440,439,317,456,54,327,567,647,45,568,330,389,334"
764,50,"523,620,13,106,117,350,322,150,328,136,59,458,445,569,273,464,119,73,664,448,677,560,11,421,678,281,730,655,277,170"
764,70,"52,331,216,523,620,13,106,117,338,350,278,322,150,328,136,104,656,412,179,437,59,686,588,239,213,458,445,569,273,464"
764,100,"52,331,216,523,171,620,13,106,117,392,338,422,396,350,122,87,278,322,150,328,136,104,30,143,656,412,179,437,59,686"
804,50,"479,475,694,177,95,778,386,524,14,525,484,41,444,651,435,192,223,679,608,541,46,709,12,321,73,330,282,619,105,274"
804,70,"479,475,694,667,320,779,693,177,95,235,778,386,627,236,524,307,14,471,495,525,484,157,446,308,494,621,217,292,41,496"
804,100,"479,475,96,694,246,667,320,779,230,693,385,797,177,95,513,775,247,235,687,778,665,288,151,77,616,386,777,123,627,318"
811,50,"150,13,620,350,523,807,117,106,59,569,764,464,328,322,445,136,73,119,664,458,273,448,421,277,677,655,281,560,11,810"
811,70,"278,150,13,620,350,588,523,437,807,117,213,106,59,569,764,464,338,331,159,774,686,52,328,104,322,216,445,136,179,73"
811,100,"278,150,13,422,48,620,350,588,523,437,807,117,213,106,725,122,59,569,764,464,204,338,556,331,263,159,30,774,686,52"
826,50,"484,41,778,525,524,386,14,177,816,694,475,95,804,479,651,444,323,435,118,679,282,192,608,561,12,709,137,540,678,330"
826,70,"484,41,621,778,526,525,524,808,386,494,14,306,177,816,157,279,557,446,618,495,217,693,308,780,264,667,694,475,95,307"
826,100,"484,41,621,778,526,525,25,524,687,688,808,76,386,166,494,14,306,231,177,592,816,538,665,31,237,124,156,157,539,279"
840,50,"46,277,281,541,330,435,47,679,655,203,12,170,275,420,223,810,349,608,421,709,282,82,782,192,141,730,444,22,678,202"
840,70,"46,590,277,281,436,283,541,330,435,47,679,655,203,563,12,298,406,170,275,327,462,685,420,223,810,51,785,121,503,349"
840,100,"722,417,46,559,590,244,277,254,281,463,436,283,28,541,330,435,568,47,763,45,33,679,655,203,563,12,298,434,398,406"
872,50,"655,420,277,421,810,203,47,281,170,782,141,202,843,22,349,448,840,12,21,275,330,82,677,679,678,46,560,435,219,282"
872,70,"655,298,420,83,277,590,421,283,109,783,406,810,203,841,47,281,170,121,782,141,51,202,501,843,22,349,436,133,448,840"
872,100,"655,298,460,420,83,277,590,421,283,33,531,516,109,515,398,50,783,28,406,763,810,761,203,841,47,281,149,170,121,723"
873,50,"273,136,322,458,523,764,620,117,807,13,811,106,350,150,328,59,37,464,11,815,569,560,445,677,119,448,73,421,664,276"
873,70,"273,136,844,239,322,458,179,84,851,656,216,412,591,523,764,620,52,117,331,807,588,278,13,811,106,350,150,338,437,774"
873,100,"273,136,844,239,322,458,200,245,179,84,851,418,630,392,165,75,410,23,656,216,412,380,99,591,523,859,483,764,70,143"
905,50,"105,132,619,120,329,522,274,419,201,459,74,339,351,321,823,118,902,137,540,95,479,816,778,524,386,457,14,804,444,177"
905,70,"105,132,447,619,120,329,522,274,419,809,218,178,42,201,125,459,74,339,351,321,781,480,373,805,850,465,15,823,527,812"
905,100,"105,132,510,447,619,120,314,329,522,274,514,558,53,411,419,809,218,397,879,178,42,201,765,125,459,74,379,339,332,351"
937,50,"136,322,273,458,873,523,876,620,907,807,117,764,811,13,350,150,106,464,59,328,569,815,11,445,677,560,119,73,448,664"
937,70,"136,322,273,179,458,873,523,876,620,907,844,588,807,239,764,117,278,216,811,656,851,84,13,350,150,331,591,52,106,412"
937,100,"136,322,934,99,273,179,165,458,901,873,75,523,418,630,876,422,620,907,844,880,410,588,807,888,392,200,23,859,245,48"
951,50,"350,106,150,117,807,59,464,811,620,523,876,815,13,764,328,569,445,119,664,73,937,136,322,458,907,873,273,277,281,448"
951,70,"350,106,150,117,807,59,464,811,620,523,876,815,588,213,13,764,328,569,445,278,331,119,338,104,774,159,437,686,52,664"
951,100,"350,106,150,117,807,122,40,59,378,464,422,263,811,620,523,556,876,815,48,402,134,588,213,13,542,764,328,569,445,278"
974,50,"873,458,907,273,136,937,322,523,764,876,620,117,807,106,951,350,811,150,13,328,59,464,815,445,569,119,37,73,664,11"
974,70,"873,458,907,273,136,844,937,239,322,523,764,876,179,216,851,620,84,117,807,412,656,331,52,106,951,350,940,588,591,811"
974,100,"873,458,410,418,23,907,934,273,630,75,136,165,943,245,844,888,937,392,239,322,859,87,901,99,523,764,876,880,228,179"
987,50,"905,105,329,120,132,619,419,522,274,459,201,351,74,339,936,823,321,118,137,902,540,95,982,945,778,816,479,386,524,14"
987,70,"905,105,329,120,132,619,447,419,522,125,274,985,459,201,351,74,781,809,339,178,218,42,480,936,823,805,321,465,373,850"
987,100,"510,905,105,329,53,120,132,765,558,314,619,514,447,419,522,397,425,332,125,274,411,985,879,459,201,351,74,781,379,809"
990,50,"664,119,445,73,815,569,59,464,328,150,951,350,106,811,117,13,807,620,764,523,876,223,709,281,192,277,608,898,919,46"
990,70,"291,664,305,119,445,73,815,498,988,569,345,59,464,468,926,213,984,159,328,686,554,104,150,774,951,338,350,106,578,437"
990,100,"291,821,664,184,912,270,209,305,119,194,79,155,114,445,73,599,815,848,928,498,638,988,786,569,345,711,662,59,464,468"
