test_batch,output,window_percent,learned_kernel
203,Cb,50,"1.94**2 * RBF(length_scale=[0.529, 1.65, 19.3, 2.59, 20, 12.3]) + WhiteKernel(noise_level=1.2e-06)"
203,T,50,"3.22**2 * RBF(length_scale=[0.496, 2.67, 17.7, 2.78, 20, 20]) + WhiteKernel(noise_level=4.51e-06)"
203,Cb,70,"2.16**2 * RBF(length_scale=[0.578, 1.93, 20, 3.72, 20, 12.8]) + WhiteKernel(noise_level=1.94e-06)"
203,T,70,"3.29**2 * RBF(length_scale=[0.535, 3.49, 14.6, 3.82, 20, 20]) + WhiteKernel(noise_level=8.62e-06)"
203,Cb,100,"1.92**2 * RBF(length_scale=[1.47, 3.57, 20, 6.3, 20, 7.86]) + WhiteKernel(noise_level=2.47e-05)"
203,T,100,"2.65**2 * RBF(length_scale=[0.57, 6.25, 20, 13.8, 20, 14.5]) + WhiteKernel(noise_level=3.85e-06)"
219,Cb,50,"1.7**2 * RBF(length_scale=[0.537, 1.34, 20, 2.42, 20, 10.7]) + WhiteKernel(noise_level=2.06e-06)"
219,T,50,"3.04**2 * RBF(length_scale=[0.496, 2.54, 15.9, 2.87, 20, 19.7]) + WhiteKernel(noise_level=4.07e-06)"
219,Cb,70,"2.12**2 * RBF(length_scale=[0.856, 1.59, 20, 6.3, 20, 10.7]) + WhiteKernel(noise_level=5.47e-05)"
219,T,70,"3.16**2 * RBF(length_scale=[0.53, 2.82, 13.3, 6.35, 20, 18.8]) + WhiteKernel(noise_level=1.15e-05)"
219,Cb,100,"1.82**2 * RBF(length_scale=[1.36, 3.21, 20, 5.14, 20, 7.5]) + WhiteKernel(noise_level=2.78e-05)"
219,T,100,"2.34**2 * RBF(length_scale=[0.56, 5.42, 20, 9.71, 20, 15.2]) + WhiteKernel(noise_level=3.95e-06)"
223,Cb,50,"1.47**2 * RBF(length_scale=[0.53, 1.04, 20, 2.37, 20, 10.2]) + WhiteKernel(noise_level=1.03e-06)"
223,T,50,"3.46**2 * RBF(length_scale=[0.509, 2.91, 19.1, 2.85, 20, 20]) + WhiteKernel(noise_level=5.49e-06)"
223,Cb,70,"2.21**2 * RBF(length_scale=[0.578, 1.94, 20, 3.1, 20, 14.9]) + WhiteKernel(noise_level=1.6e-06)"
223,T,70,"3.27**2 * RBF(length_scale=[0.53, 3.58, 15.2, 4.02, 20, 20]) + WhiteKernel(noise_level=6.26e-06)"
223,Cb,100,"1.88**2 * RBF(length_scale=[1.45, 4.08, 20, 6.53, 20, 6.8]) + WhiteKernel(noise_level=1.93e-05)"
223,T,100,"3.39**2 * RBF(length_scale=[0.565, 5.84, 18.9, 11.6, 20, 14.7]) + WhiteKernel(noise_level=4.04e-06)"
282,Cb,50,"2.77**2 * RBF(length_scale=[0.951, 2.15, 20, 3.74, 20, 13.2]) + WhiteKernel(noise_level=8.93e-05)"
282,T,50,"4.01**2 * RBF(length_scale=[0.529, 3.54, 18.5, 4.49, 20, 20]) + WhiteKernel(noise_level=1.06e-05)"
282,Cb,70,"3.01**2 * RBF(length_scale=[1.36, 2.96, 20, 12, 20, 11.4]) + WhiteKernel(noise_level=4.45e-05)"
282,T,70,"2.93**2 * RBF(length_scale=[0.566, 4.76, 20, 15.5, 20, 15.4]) + WhiteKernel(noise_level=9.5e-06)"
282,Cb,100,"2.29**2 * RBF(length_scale=[1.56, 4.88, 20, 6.44, 20, 9.76]) + WhiteKernel(noise_level=2.69e-05)"
282,T,100,"2.55**2 * RBF(length_scale=[0.572, 7.91, 20, 15.9, 20, 16.5]) + WhiteKernel(noise_level=4.17e-06)"
322,Cb,50,"2.29**2 * RBF(length_scale=[0.575, 1.93, 20, 7.09, 20, 13.6]) + WhiteKernel(noise_level=6.98e-06)"
322,T,50,"3.28**2 * RBF(length_scale=[0.521, 2.83, 17.8, 5.14, 20, 20]) + WhiteKernel(noise_level=6.54e-06)"
322,Cb,70,"1.41**2 * RBF(length_scale=[0.49, 1.54, 20, 5.35, 20, 8.54]) + WhiteKernel(noise_level=8.43e-08)"
322,T,70,"2.68**2 * RBF(length_scale=[0.441, 2.17, 16, 6.26, 20, 18]) + WhiteKernel(noise_level=6.23e-07)"
322,Cb,100,"1.25**2 * RBF(length_scale=[0.436, 2.55, 20, 6.38, 20, 7.45]) + WhiteKernel(noise_level=3.41e-07)"
322,T,100,"2.16**2 * RBF(length_scale=[0.407, 3.28, 17.1, 6.04, 20, 11.9]) + WhiteKernel(noise_level=5.32e-06)"
328,Cb,50,"2.11**2 * RBF(length_scale=[0.561, 1.94, 20, 3.23, 20, 13.3]) + WhiteKernel(noise_level=4.11e-06)"
328,T,50,"2.5**2 * RBF(length_scale=[0.501, 2.24, 10.7, 3, 20, 18.9]) + WhiteKernel(noise_level=2.5e-06)"
328,Cb,70,"1.54**2 * RBF(length_scale=[0.468, 1.81, 20, 4.33, 20, 8.94]) + WhiteKernel(noise_level=1.12e-07)"
328,T,70,"2.78**2 * RBF(length_scale=[0.434, 2.57, 19.6, 5.05, 20, 16.6]) + WhiteKernel(noise_level=9.67e-07)"
328,Cb,100,"1.34**2 * RBF(length_scale=[0.437, 3.05, 20, 6.59, 20, 7.11]) + WhiteKernel(noise_level=4.13e-07)"
328,T,100,"2.01**2 * RBF(length_scale=[0.382, 4.23, 20, 8.15, 20, 9.41]) + WhiteKernel(noise_level=3.56e-06)"
339,Cb,50,"3.28**2 * RBF(length_scale=[1.3, 2.46, 20, 8.38, 20, 10.7]) + WhiteKernel(noise_level=6.79e-05)"
339,T,50,"5.08**2 * RBF(length_scale=[0.515, 5.37, 20, 6.79, 20, 18.7]) + WhiteKernel(noise_level=1.05e-05)"
339,Cb,70,"3.77**2 * RBF(length_scale=[1.12, 2.9, 20, 20, 20, 13.2]) + WhiteKernel(noise_level=2.56e-05)"
339,T,70,"3.94**2 * RBF(length_scale=[0.475, 3.75, 14.3, 4.92, 20, 18.1]) + WhiteKernel(noise_level=1e-08)"
339,Cb,100,"3.1**2 * RBF(length_scale=[1.31, 5.43, 20, 20, 20, 9.9]) + WhiteKernel(noise_level=3.39e-05)"
339,T,100,"2.55**2 * RBF(length_scale=[0.452, 6.81, 20, 12.4, 20, 20]) + WhiteKernel(noise_level=1e-08)"
350,Cb,50,"1.39**2 * RBF(length_scale=[0.541, 1.04, 20, 5.16, 20, 8.85]) + WhiteKernel(noise_level=1.36e-06)"
350,T,50,"2.77**2 * RBF(length_scale=[0.498, 2.19, 15.1, 4.26, 20, 20]) + WhiteKernel(noise_level=2.61e-06)"
350,Cb,70,"1.53**2 * RBF(length_scale=[0.457, 2.03, 20, 5.93, 20, 9.76]) + WhiteKernel(noise_level=1.05e-07)"
350,T,70,"3.34**2 * RBF(length_scale=[0.419, 3.01, 15.8, 8.2, 20, 18.9]) + WhiteKernel(noise_level=8.4e-07)"
350,Cb,100,"1.21**2 * RBF(length_scale=[0.419, 3.68, 20, 10.1, 20, 7.88]) + WhiteKernel(noise_level=8.17e-08)"
350,T,100,"2.09**2 * RBF(length_scale=[0.354, 5.15, 20, 10.8, 20, 13.9]) + WhiteKernel(noise_level=6.12e-07)"
351,Cb,50,"3.4**2 * RBF(length_scale=[1.26, 2.59, 20, 7.89, 20, 11.5]) + WhiteKernel(noise_level=6.02e-05)"
351,T,50,"5.13**2 * RBF(length_scale=[0.512, 5.36, 20, 7.64, 20, 18.3]) + WhiteKernel(noise_level=9.52e-06)"
351,Cb,70,"4.11**2 * RBF(length_scale=[1.08, 3.16, 20, 20, 20, 15.8]) + WhiteKernel(noise_level=3.02e-05)"
351,T,70,"4.38**2 * RBF(length_scale=[0.494, 4.59, 20, 16.9, 20, 20]) + WhiteKernel(noise_level=1.61e-08)"
351,Cb,100,"2.94**2 * RBF(length_scale=[1.23, 7.11, 20, 20, 20, 10.8]) + WhiteKernel(noise_level=2.94e-05)"
351,T,100,"3.22**2 * RBF(length_scale=[0.456, 10.6, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
419,Cb,50,"3.37**2 * RBF(length_scale=[1.24, 2.5, 20, 7.63, 20, 11.4]) + WhiteKernel(noise_level=6.39e-05)"
419,T,50,"4.8**2 * RBF(length_scale=[0.497, 4.73, 18, 7.48, 20, 16.9]) + WhiteKernel(noise_level=3.36e-06)"
419,Cb,70,"4.09**2 * RBF(length_scale=[1.07, 4.12, 20, 20, 20, 16.2]) + WhiteKernel(noise_level=2.64e-05)"
419,T,70,"3.91**2 * RBF(length_scale=[0.469, 5.52, 20, 14.7, 20, 20]) + WhiteKernel(noise_level=1e-08)"
419,Cb,100,"2.89**2 * RBF(length_scale=[1.28, 5.53, 20, 20, 20, 10.3]) + WhiteKernel(noise_level=3.38e-05)"
419,T,100,"2.79**2 * RBF(length_scale=[0.454, 7.53, 20, 16.7, 20, 20]) + WhiteKernel(noise_level=1e-08)"
420,Cb,50,"2.41**2 * RBF(length_scale=[0.573, 1.85, 20, 12.5, 20, 13.2]) + WhiteKernel(noise_level=6e-06)"
420,T,50,"2.85**2 * RBF(length_scale=[0.518, 2.32, 13.7, 4.36, 20, 20]) + WhiteKernel(noise_level=7.33e-06)"
420,Cb,70,"2.57**2 * RBF(length_scale=[1.45, 6.2, 20, 8.63, 20, 10.9]) + WhiteKernel(noise_level=4.45e-05)"
420,T,70,"2.98**2 * RBF(length_scale=[0.539, 9.19, 20, 19.5, 20, 17.9]) + WhiteKernel(noise_level=8.35e-06)"
420,Cb,100,"2.47**2 * RBF(length_scale=[1.47, 6.06, 20, 9.62, 20, 10.4]) + WhiteKernel(noise_level=3.43e-05)"
420,T,100,"2.75**2 * RBF(length_scale=[0.541, 8.65, 20, 20, 20, 16.7]) + WhiteKernel(noise_level=6.25e-06)"
459,Cb,50,"3.4**2 * RBF(length_scale=[1.24, 2.7, 20, 10.9, 20, 11.9]) + WhiteKernel(noise_level=5.49e-05)"
459,T,50,"4.89**2 * RBF(length_scale=[0.472, 5.05, 18.3, 5.55, 20, 20]) + WhiteKernel(noise_level=1.02e-08)"
459,Cb,70,"2.92**2 * RBF(length_scale=[1.27, 4.31, 20, 20, 20, 11.1]) + WhiteKernel(noise_level=3.55e-05)"
459,T,70,"4.12**2 * RBF(length_scale=[0.475, 7.45, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
459,Cb,100,"2.9**2 * RBF(length_scale=[1.27, 5.68, 20, 20, 20, 10.6]) + WhiteKernel(noise_level=3.35e-05)"
459,T,100,"2.69**2 * RBF(length_scale=[0.453, 7.82, 20, 17.2, 20, 20]) + WhiteKernel(noise_level=1e-08)"
464,Cb,50,"1.43**2 * RBF(length_scale=[0.506, 1.4, 20, 4.62, 20, 10.5]) + WhiteKernel(noise_level=3.09e-07)"
464,T,50,"2.32**2 * RBF(length_scale=[0.469, 2.16, 13.3, 4.54, 20, 20]) + WhiteKernel(noise_level=1.97e-06)"
464,Cb,70,"1.42**2 * RBF(length_scale=[0.438, 2.14, 20, 6.43, 20, 9.87]) + WhiteKernel(noise_level=4.39e-08)"
464,T,70,"2.78**2 * RBF(length_scale=[0.41, 3.37, 17, 8.39, 20, 16.8]) + WhiteKernel(noise_level=7.19e-07)"
464,Cb,100,"1.2**2 * RBF(length_scale=[0.403, 4.58, 20, 11.6, 20, 8.68]) + WhiteKernel(noise_level=7.27e-08)"
464,T,100,"2.21**2 * RBF(length_scale=[0.358, 6.69, 20, 12.9, 20, 14.7]) + WhiteKernel(noise_level=8.85e-07)"
484,Cb,50,"3.19**2 * RBF(length_scale=[1.31, 1.65, 20, 6.91, 20, 9.17]) + WhiteKernel(noise_level=6.85e-05)"
484,T,50,"4.35**2 * RBF(length_scale=[0.536, 3.77, 17.7, 7.56, 20, 20]) + WhiteKernel(noise_level=1.89e-05)"
484,Cb,70,"2.68**2 * RBF(length_scale=[1.2, 2.74, 20, 7.73, 20, 8.89]) + WhiteKernel(noise_level=4.07e-05)"
484,T,70,"3.57**2 * RBF(length_scale=[0.601, 4.11, 20, 8.08, 20, 16.7]) + WhiteKernel(noise_level=1.52e-05)"
484,Cb,100,"1.68**2 * RBF(length_scale=[1.15, 4.35, 20, 5.67, 20, 8.86]) + WhiteKernel(noise_level=1.58e-05)"
484,T,100,"3.86**2 * RBF(length_scale=[0.745, 4.74, 13.1, 5.59, 20, 14.5]) + WhiteKernel(noise_level=8.73e-05)"
540,Cb,50,"3.4**2 * RBF(length_scale=[1.19, 1.84, 20, 9.09, 20, 11.1]) + WhiteKernel(noise_level=4.54e-05)"
