output,window_percent,metric,mean_50,mean_candidate,percent_change_vs_50,candidate_better_count,window_50_better_count,ties,wilcoxon_statistic,wilcoxon_p_value
Cb,70,final_abs_error,0.0032754307830163347,0.002516989564893324,-23.155464681337723,21,9,0,146.0,0.07672121562063694
Cb,70,hidden_mae,0.0021631570478366402,0.0013818979355852037,-36.11661543634887,21,9,0,115.0,0.01453801617026329
Cb,70,final_posterior_std,0.0027235432380533346,0.0017319139037683126,-36.409531540751075,25,5,0,47.0,3.904104232788086e-05
Cb,100,final_abs_error,0.0032754307830163347,0.0024028154802182605,-26.64123776703611,20,10,0,134.0,0.0426517054438591
Cb,100,hidden_mae,0.0021631570478366402,0.001273366843155296,-41.1338698487573,21,9,0,104.0,0.007111456245183945
Cb,100,final_posterior_std,0.0027235432380533346,0.0018337267701079012,-32.67128112794104,21,9,0,91.0,0.0027663204818964005
T,70,final_abs_error,0.5560768346568807,0.1595342430646459,-71.31075543488802,22,8,0,95.0,0.0037444327026605606
T,70,hidden_mae,0.4770879490180502,0.19430234010174358,-59.273265966650456,25,5,0,71.0,0.0005054883658885956
T,70,final_posterior_std,0.917471862117047,0.48262784256227315,-47.39589708521201,25,5,0,41.0,1.8244609236717224e-05
T,100,final_abs_error,0.5560768346568807,0.16196558591340515,-70.87352397742954,23,7,0,55.0,9.90256667137146e-05
T,100,hidden_mae,0.4770879490180502,0.15693068470118027,-67.10655026517071,27,3,0,22.0,9.98377799987793e-07
T,100,final_posterior_std,0.917471862117047,0.35210486939742824,-61.62227050920628,27,3,0,15.0,2.551823854446411e-07
