test_batch,output,time_representation,features,learned_kernel
28,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.09**2 * RBF(length_scale=[0.872, 1.38, 20, 1.34, 20, 2.56]) + WhiteKernel(noise_level=0.000113)"
28,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.86**2 * RBF(length_scale=[0.485, 1.74, 4.56, 2.93, 20, 5.88]) + WhiteKernel(noise_level=6.86e-07)"
28,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","3.27**2 * RBF(length_scale=[0.686, 2.4, 20, 1.81, 20, 7.01]) + WhiteKernel(noise_level=5.78e-06)"
28,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.51**2 * RBF(length_scale=[0.2, 0.717, 19.5, 0.338, 0.517, 19.2]) + WhiteKernel(noise_level=0.00116)"
36,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.09**2 * RBF(length_scale=[1.02, 1.31, 20, 20, 20, 2.32]) + WhiteKernel(noise_level=6.12e-05)"
36,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","0.958**2 * RBF(length_scale=[0.769, 20, 0.656, 0.445, 0.826, 14.9]) + WhiteKernel(noise_level=0.000361)"
36,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","2.45**2 * RBF(length_scale=[0.865, 20, 20, 0.993, 20, 6.16]) + WhiteKernel(noise_level=1.7e-05)"
36,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.81**2 * RBF(length_scale=[0.282, 20, 5.79, 0.768, 2.24, 4.12]) + WhiteKernel(noise_level=0.00079)"
65,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.937**2 * RBF(length_scale=[0.872, 1.7, 20, 1.85, 20, 1.97]) + WhiteKernel(noise_level=5.3e-05)"
65,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.8**2 * RBF(length_scale=[0.757, 3.23, 6.37, 9.1, 20, 3.85]) + WhiteKernel(noise_level=0.000191)"
65,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","2.55**2 * RBF(length_scale=[0.627, 20, 20, 1.21, 20, 3.94]) + WhiteKernel(noise_level=1.58e-05)"
65,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.4**2 * RBF(length_scale=[0.2, 3.25, 6.69, 6.2, 20, 4.03]) + WhiteKernel(noise_level=0.000102)"
165,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.3**2 * RBF(length_scale=[0.933, 1.03, 20, 1.56, 20, 3.37]) + WhiteKernel(noise_level=0.000135)"
165,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.22**2 * RBF(length_scale=[0.866, 20, 3.96, 2.3, 20, 5.52]) + WhiteKernel(noise_level=0.0003)"
165,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","4.14**2 * RBF(length_scale=[0.673, 20, 20, 0.996, 20, 5.34]) + WhiteKernel(noise_level=2.03e-05)"
165,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.64**2 * RBF(length_scale=[0.212, 20, 3.97, 2.01, 20, 5.48]) + WhiteKernel(noise_level=7.12e-05)"
174,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.09**2 * RBF(length_scale=[0.83, 1.23, 20, 2.08, 20, 3.06]) + WhiteKernel(noise_level=8.86e-05)"
174,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.04**2 * RBF(length_scale=[0.446, 20, 16.2, 0.876, 3.97, 5.93]) + WhiteKernel(noise_level=1.16e-06)"
174,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","8.8**2 * RBF(length_scale=[1.2, 20, 13.2, 1.53, 20, 16]) + WhiteKernel(noise_level=2.99e-05)"
174,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.43**2 * RBF(length_scale=[0.2, 6.77, 20, 1.61, 5.92, 11.3]) + WhiteKernel(noise_level=0.0013)"
204,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.2**2 * RBF(length_scale=[0.879, 1.1, 20, 20, 20, 2.61]) + WhiteKernel(noise_level=6.59e-05)"
204,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.32**2 * RBF(length_scale=[0.715, 2.87, 7.04, 3.01, 2.71, 3.92]) + WhiteKernel(noise_level=0.000254)"
