test_batch,unrestricted,same_delta_frac_A,same_delta_Tc,same_both
36,36,15,18,7
65,65,26,32,12
165,165,78,80,45
174,174,82,85,49
204,204,99,97,55
207,207,92,98,34
229,229,103,109,40
232,232,111,111,61
234,234,112,112,62
250,250,112,121,64
257,257,125,125,51
314,314,141,157,81
332,332,146,166,85
401,401,177,197,99
424,424,210,196,109
496,496,216,242,119
569,569,283,264,144
653,653,319,307,158
748,748,332,33,14
788,788,392,377,180
803,803,399,378,190
815,815,405,386,195
830,830,413,399,192
857,857,425,414,198
881,881,398,425,198
883,883,400,417,183
907,907,448,426,217
974,974,480,457,231
992,992,448,465,203
