test_batch,strategy,history_batches,selection_time_ms
165,unrestricted,"75,99,23,136,134,40,48,122,117,87,150,106,13,84,52,30,68,143,59,111,70,159,142,79,104,119,155,126,94,145",0.4817000008188188
165,same_delta_frac_A,"75,99,23,136,134,40,48,122,117,87,150,106,13,84,52,30,68,143,59,111,70,159,142,79,104,119,155,126,94,145",0.6004000024404377
165,same_delta_Tc,"75,99,23,136,134,40,48,122,117,87,150,106,13,84,52,30,68,143,59,111,70,159,142,79,104,119,155,126,94,145",0.8578999986639246
165,same_both,"75,99,23,136,134,40,48,122,117,87,150,106,13,84,52,30,68,143,59,111,70,159,142,79,104,119,155,126,94,145",0.628800000413321
174,unrestricted,"126,70,171,37,145,84,143,34,131,68,52,136,11,16,111,87,94,30,13,169,142,43,117,122,116,149,27,106,104,54",0.637700009974651
174,same_delta_frac_A,"126,70,171,145,84,143,34,131,68,52,136,11,111,87,94,30,13,169,142,117,122,116,149,106,104,54,51,150,99,165",0.6317000079434365
174,same_delta_Tc,"126,70,171,37,145,84,143,34,131,68,52,136,11,16,111,87,94,30,13,169,142,43,117,122,116,149,27,106,104,54",0.6839000125182793
174,same_both,"126,70,171,145,84,143,34,131,68,52,136,11,111,87,94,30,13,169,142,117,122,116,149,106,104,54,51,150,99,165",0.8356000034837052
204,unrestricted,"48,99,40,134,150,122,117,165,159,75,106,13,59,136,155,79,23,87,179,119,30,52,104,171,142,194,73,200,143,109",0.6720999954268336
204,same_delta_frac_A,"48,99,40,134,150,122,117,165,159,75,106,13,59,136,155,79,23,87,179,119,30,52,104,171,142,194,73,200,143,109",0.9123000054387376
204,same_delta_Tc,"48,99,40,134,150,122,117,165,159,75,106,13,59,136,155,79,23,87,179,119,30,52,104,171,142,194,73,200,143,109",0.7609000022057444
204,same_both,"48,99,40,134,150,122,117,165,159,75,106,13,59,136,155,79,23,87,179,119,30,52,104,171,142,194,73,200,143,109",0.8416999917244539
207,unrestricted,"57,197,191,182,8,162,72,186,103,154,4,100,86,18,180,148,160,39,65,139,113,158,137,62,93,118,10,49,43,129",0.6992999988142401
207,same_delta_frac_A,"57,197,191,182,8,162,72,186,103,154,4,100,86,18,180,148,160,39,65,139,113,158,137,62,93,118,10,49,43,129",0.6229999999050051
207,same_delta_Tc,"57,197,191,182,8,162,72,186,103,154,4,100,86,18,180,148,160,39,65,139,113,62,43,89,1,124,130,41,91,156",0.6051000091247261
207,same_both,"57,197,191,182,8,162,72,186,103,154,4,100,86,18,180,148,160,39,65,139,113,62,43,1,124,130,41,91,156,27",0.6239000067580491
229,unrestricted,"217,195,107,31,210,118,185,41,24,137,156,157,166,97,167,76,152,124,172,77,205,95,14,160,212,180,100,158,25,177",0.4445999948075041
229,same_delta_frac_A,"217,195,107,31,210,118,185,41,24,137,156,157,97,152,124,172,205,160,212,180,100,158,105,78,80,190,153,214,32,53",0.6132999988039955
229,same_delta_Tc,"210,41,156,166,76,124,160,180,100,25,103,91,186,211,39,225,154,65,72,7,227,148,1,57,197,130,2,207,182,86",0.6207999977050349
229,same_both,"210,41,156,124,160,180,100,103,91,186,39,225,154,65,72,227,148,1,57,197,130,207,182,86,8,191,4,219,222,18",0.6106000073486939
232,unrestricted,"66,123,35,230,177,211,101,198,5,231,96,19,14,192,25,41,95,127,151,77,172,76,223,73,55,107,166,189,188,124",0.46400001156143844
232,same_delta_frac_A,"66,123,35,230,177,211,101,198,96,19,192,25,151,77,223,73,55,189,188,208,104,163,51,183,45,46,28,170,54,64",0.5784999957541004
232,same_delta_Tc,"211,101,231,25,41,76,73,55,166,124,104,156,51,183,210,170,54,64,59,29,52,13,119,213,219,171,30,50,133,229",0.5948000034550205
232,same_both,"211,101,25,73,55,104,51,183,170,54,64,59,52,13,119,213,171,30,50,106,131,150,2,143,149,216,194,159,215,155",0.7089999999152496
234,unrestricted,"145,94,176,34,16,84,70,62,111,131,200,37,143,174,126,43,179,68,216,113,136,30,171,52,11,18,65,27,139,13",0.4495000030146912
234,same_delta_frac_A,"145,94,176,34,84,70,111,131,200,143,174,126,179,68,216,136,30,171,52,11,13,142,87,64,169,165,75,99,117,23",0.524200004292652
234,same_delta_Tc,"145,94,176,34,16,84,70,62,111,131,200,37,143,174,126,43,179,68,216,113,136,30,171,52,11,18,65,27,139,13",0.5892000044696033
234,same_both,"145,94,176,34,84,70,111,131,200,143,174,126,179,68,216,136,30,171,52,11,13,142,87,64,169,165,75,99,117,23",0.6080000021029264
250,unrestricted,"10,243,39,158,227,148,248,98,49,214,160,115,103,137,32,86,180,118,129,212,154,93,186,221,100,182,80,72,168,185",0.4687999899033457
250,same_delta_frac_A,"10,243,39,158,227,148,248,98,49,214,160,115,103,137,32,86,180,118,129,212,154,93,186,221,100,182,80,72,168,185",0.606099987635389
250,same_delta_Tc,"10,243,158,98,49,214,115,137,32,118,129,212,221,80,168,185,78,15,92,201,152,190,205,132,153,105,74,53,135,120",0.5699000030290335
250,same_both,"10,243,158,98,49,214,115,137,32,118,129,212,221,80,168,185,78,15,92,201,152,190,205,132,153,105,74,53,135,120",0.6121000042185187
257,unrestricted,"226,189,188,206,3,153,61,2,242,90,64,29,190,92,151,91,236,147,110,130,14,7,28,205,225,123,211,81,157,221",0.46039999870117754
257,same_delta_frac_A,"189,188,3,61,2,242,64,151,236,110,28,123,211,247,96,177,51,25,241,237,170,246,230,83,46,232,66,109,30,33",0.6923000037204474
