test_batch,output,strategy,learned_kernel
165,Cb,unrestricted,"1.31**2 * RBF(length_scale=[0.448, 2.59, 20, 6.36, 20, 7.09]) + WhiteKernel(noise_level=7.32e-07)"
165,T,unrestricted,"2.34**2 * RBF(length_scale=[0.401, 3.64, 19.5, 8.48, 20, 8.76]) + WhiteKernel(noise_level=5.82e-06)"
165,Cb,same_delta_frac_A,"1.31**2 * RBF(length_scale=[0.448, 2.59, 20, 6.36, 20, 7.09]) + WhiteKernel(noise_level=7.32e-07)"
165,T,same_delta_frac_A,"2.34**2 * RBF(length_scale=[0.401, 3.64, 19.5, 8.48, 20, 8.76]) + WhiteKernel(noise_level=5.82e-06)"
165,Cb,same_delta_Tc,"1.31**2 * RBF(length_scale=[0.448, 2.59, 20, 6.36, 20, 7.09]) + WhiteKernel(noise_level=7.32e-07)"
165,T,same_delta_Tc,"2.34**2 * RBF(length_scale=[0.401, 3.64, 19.5, 8.48, 20, 8.76]) + WhiteKernel(noise_level=5.82e-06)"
165,Cb,same_both,"1.31**2 * RBF(length_scale=[0.448, 2.59, 20, 6.36, 20, 7.09]) + WhiteKernel(noise_level=7.32e-07)"
165,T,same_both,"2.34**2 * RBF(length_scale=[0.401, 3.64, 19.5, 8.48, 20, 8.76]) + WhiteKernel(noise_level=5.82e-06)"
174,Cb,unrestricted,"1.22**2 * RBF(length_scale=[0.513, 1.64, 20, 4.24, 20, 5.53]) + WhiteKernel(noise_level=3.98e-07)"
174,T,unrestricted,"1.9**2 * RBF(length_scale=[0.461, 2.25, 10.7, 6.55, 20, 6.91]) + WhiteKernel(noise_level=1.67e-06)"
174,Cb,same_delta_frac_A,"1.31**2 * RBF(length_scale=[0.476, 1.83, 20, 4.31, 20, 6.21]) + WhiteKernel(noise_level=3.88e-07)"
174,T,same_delta_frac_A,"2.26**2 * RBF(length_scale=[0.446, 2.51, 14, 6.18, 20, 8.03]) + WhiteKernel(noise_level=5.92e-06)"
174,Cb,same_delta_Tc,"1.22**2 * RBF(length_scale=[0.513, 1.64, 20, 4.24, 20, 5.53]) + WhiteKernel(noise_level=3.98e-07)"
174,T,same_delta_Tc,"1.9**2 * RBF(length_scale=[0.461, 2.25, 10.7, 6.55, 20, 6.91]) + WhiteKernel(noise_level=1.67e-06)"
174,Cb,same_both,"1.31**2 * RBF(length_scale=[0.476, 1.83, 20, 4.31, 20, 6.21]) + WhiteKernel(noise_level=3.88e-07)"
