output,strategy,metric,mean_unrestricted,mean_candidate,percent_change_vs_unrestricted,candidate_better_count,unrestricted_better_count,ties,wilcoxon_statistic,wilcoxon_p_value
Cb,same_delta_frac_A,final_abs_error,0.0026765538249774227,0.002493352446989747,-6.844673784552824,6,4,16,22.0,0.5750621301739497
Cb,same_delta_frac_A,hidden_mae,0.0018880572762948816,0.001584043157786457,-16.101954232290094,5,5,16,24.0,0.7212766990291557
Cb,same_delta_frac_A,final_posterior_std,0.002874668647211495,0.002248079301387677,-21.796924192693524,8,2,16,7.0,0.03665792867221451
Cb,same_delta_Tc,final_abs_error,0.0026765538249774227,0.002680747860379226,0.15669535066564766,9,5,12,47.0,0.7298909084206947
Cb,same_delta_Tc,hidden_mae,0.0018880572762948816,0.002073736986984347,9.834432091691792,7,7,12,40.0,0.43262594902013973
Cb,same_delta_Tc,final_posterior_std,0.002874668647211495,0.0033508440144123827,16.564530582082583,1,13,12,11.0,0.00918142110309248
Cb,same_both,final_abs_error,0.0026765538249774227,0.003016420035614196,12.697903082133632,10,7,9,69.0,0.7225627705707576
Cb,same_both,hidden_mae,0.0018880572762948816,0.0018232921056739746,-3.4302545496925796,9,8,9,72.0,0.831310207979425
Cb,same_both,final_posterior_std,0.002874668647211495,0.002531182554428887,-11.948719485141313,7,10,9,62.0,0.4924592974852695
T,same_delta_frac_A,final_abs_error,0.46898193724872456,0.33152068206885804,-29.310564919894546,6,4,16,15.0,0.20262160771231197
T,same_delta_frac_A,hidden_mae,0.4065627322252625,0.31179993110649373,-23.308285193799794,6,4,16,13.0,0.13941397332153205
T,same_delta_frac_A,final_posterior_std,0.8858970860928059,0.5375113471710529,-39.32575740352491,9,1,16,3.0,0.012515318690073973
T,same_delta_Tc,final_abs_error,0.46898193724872456,0.722544143271696,54.066518533845965,5,9,12,25.0,0.08428387967828298
T,same_delta_Tc,hidden_mae,0.4065627322252625,0.459202022427735,12.947396805004452,5,9,12,28.0,0.12404279309009482
T,same_delta_Tc,final_posterior_std,0.8858970860928059,1.0504758166564547,18.57763538759485,3,11,12,12.0,0.01100791295518674
T,same_both,final_abs_error,0.46898193724872456,0.44715657039690027,-4.6537755760621575,7,10,9,70.0,0.7583123742610346
T,same_both,hidden_mae,0.4065627322252625,0.4831961194499146,18.849092932155955,8,9,9,68.0,0.6874088693789095
T,same_both,final_posterior_std,0.8858970860928059,0.7825521953776362,-11.66556390550577,10,7,9,57.0,0.3559586988465746
